Date,Season,Competition,Team,Opponent,Venue,TeamGoals,OppGoals,Result,Player,Start,Position,Minutes,Goals,Assists,Shots,SoT,Yellow,Red,Fouls,Offsides,Crosses,TacklesWon,Interceptions
2012-01-29,2011-2012,Bundesliga,Stuttgart,Gladbach,Home,0,3,L,Antonio Rüdiger,Y,NA,78,0,0,0,0,0,0,0,0,0,0,0
2012-11-17,2012-2013,Bundesliga,Stuttgart,Gladbach,Away,2,1,W,Antonio Rüdiger,N,NA,1,0,0,NA,NA,0,0,0,0,0,NA,NA
2012-12-01,2012-2013,Bundesliga,Stuttgart,Greuther Fürth,Away,1,0,W,Antonio Rüdiger,N,NA,1,0,0,NA,NA,0,0,0,0,0,NA,NA
2012-12-08,2012-2013,Bundesliga,Stuttgart,Schalke 04,Home,3,1,W,Antonio Rüdiger,N,NA,20,0,0,NA,NA,0,0,0,0,0,NA,NA
2012-12-15,2012-2013,Bundesliga,Stuttgart,Mainz 05,Away,1,3,L,Antonio Rüdiger,Y,NA,89,0,0,NA,NA,0,0,0,0,0,NA,NA
2013-01-19,2012-2013,Bundesliga,Stuttgart,Wolfsburg,Away,0,2,L,Antonio Rüdiger,Y,NA,90,0,0,NA,NA,1,0,0,0,0,NA,NA
2013-01-27,2012-2013,Bundesliga,Stuttgart,Bayern Munich,Home,0,2,L,Antonio Rüdiger,Y,NA,90,0,0,NA,NA,1,0,0,0,0,NA,NA
2013-02-17,2012-2013,Bundesliga,Stuttgart,Hoffenheim,Away,1,0,W,Antonio Rüdiger,N,NA,1,0,0,NA,NA,1,0,0,0,0,NA,NA
2013-03-02,2012-2013,Bundesliga,Stuttgart,Leverkusen,Away,1,2,L,Antonio Rüdiger,Y,NA,90,0,0,NA,NA,0,0,0,0,0,NA,NA
2013-03-10,2012-2013,Bundesliga,Stuttgart,Hamburger SV,Home,0,1,L,Antonio Rüdiger,Y,NA,90,0,0,NA,NA,0,0,0,0,0,NA,NA
2013-03-17,2012-2013,Bundesliga,Stuttgart,Eintracht Frankfurt,Away,2,1,W,Antonio Rüdiger,N,NA,4,0,0,NA,NA,0,0,0,0,0,NA,NA
2013-03-30,2012-2013,Bundesliga,Stuttgart,Dortmund,Home,1,2,L,Antonio Rüdiger,Y,NA,90,0,0,NA,NA,0,0,0,0,0,NA,NA
2013-04-07,2012-2013,Bundesliga,Stuttgart,Hannover 96,Away,0,0,D,Antonio Rüdiger,Y,NA,90,0,0,NA,NA,0,0,0,0,0,NA,NA
2013-04-14,2012-2013,Bundesliga,Stuttgart,Gladbach,Home,2,0,W,Antonio Rüdiger,Y,NA,90,0,0,NA,NA,0,0,0,0,0,NA,NA
2013-04-21,2012-2013,Bundesliga,Stuttgart,Freiburg,Home,2,1,W,Antonio Rüdiger,Y,NA,90,0,0,NA,NA,0,0,0,0,0,NA,NA
2013-04-27,2012-2013,Bundesliga,Stuttgart,Augsburg,Away,0,3,L,Antonio Rüdiger,Y,NA,90,0,0,NA,NA,1,0,0,0,0,NA,NA
2013-05-04,2012-2013,Bundesliga,Stuttgart,Greuther Fürth,Home,0,2,L,Antonio Rüdiger,Y,NA,73,0,0,NA,NA,0,1,0,0,0,NA,NA
2013-08-17,2013-2014,Bundesliga,Stuttgart,Leverkusen,Home,0,1,L,Antonio Rüdiger,Y,NA,90,0,0,NA,NA,0,0,0,0,0,NA,NA
2013-08-25,2013-2014,Bundesliga,Stuttgart,Augsburg,Away,1,2,L,Antonio Rüdiger,Y,NA,90,0,0,NA,NA,0,0,0,0,0,NA,NA
