Date,Season,Competition,Team,Opponent,Venue,TeamGoals,OppGoals,Result,Player,Start,Position,Minutes,Goals,Assists,Shots,SoT,Yellow,Red,Fouls,Offsides,Crosses,TacklesWon,Interceptions
2018-08-12,2018-2019,Ligue 1,Bordeaux,Strasbourg,Home,0,2,L,Aurélien Tchouaméni,Y,CM,71,0,0,0,0,0,0,0,0,0,3,1
2018-08-19,2018-2019,Ligue 1,Bordeaux,Toulouse,Away,1,2,L,Aurélien Tchouaméni,N,NA,28,0,0,0,0,0,0,1,0,0,0,0
2018-08-26,2018-2019,Ligue 1,Bordeaux,Monaco,Home,2,1,W,Aurélien Tchouaméni,Y,CM,90,0,0,1,0,0,0,0,1,0,1,6
2018-09-26,2018-2019,Ligue 1,Bordeaux,Lille,Home,1,0,W,Aurélien Tchouaméni,Y,DM,70,0,0,1,1,0,0,2,0,0,3,4
2018-09-29,2018-2019,Ligue 1,Bordeaux,Reims,Away,0,0,D,Aurélien Tchouaméni,Y,CM,73,0,0,0,0,1,0,5,0,0,0,0
2018-11-11,2018-2019,Ligue 1,Bordeaux,Caen,Home,0,0,D,Aurélien Tchouaméni,Y,CM,71,0,0,0,0,1,0,2,0,0,1,2
2019-02-09,2018-2019,Ligue 1,Bordeaux,Paris Saint-Germain,Away,0,1,L,Aurélien Tchouaméni,N,NA,31,0,0,2,0,0,0,1,0,0,0,0
2019-02-17,2018-2019,Ligue 1,Bordeaux,Toulouse,Home,2,1,W,Aurélien Tchouaméni,Y,DM,90,0,0,0,0,0,0,1,0,0,2,6
2019-02-24,2018-2019,Ligue 1,Bordeaux,Nantes,Away,0,1,L,Aurélien Tchouaméni,Y,DM,90,0,0,2,0,0,0,2,1,0,0,1
2019-03-09,2018-2019,Ligue 1,Bordeaux,Monaco,Away,1,1,D,Aurélien Tchouaméni,Y,DM,90,0,0,0,0,1,0,3,1,0,3,4
2019-08-10,2019-2020,Ligue 1,Bordeaux,Angers,Away,1,3,L,Aurélien Tchouaméni,Y,DM,90,0,0,0,0,0,0,2,0,0,0,2
2019-08-24,2019-2020,Ligue 1,Bordeaux,Dijon,Away,2,0,W,Aurélien Tchouaméni,Y,DM,90,0,0,1,0,0,0,1,0,0,1,1
2019-08-31,2019-2020,Ligue 1,Bordeaux,Lyon,Away,1,1,D,Aurélien Tchouaméni,Y,DM,72,0,0,1,0,0,0,1,0,0,2,2
2019-09-14,2019-2020,Ligue 1,Bordeaux,Metz,Home,2,0,W,Aurélien Tchouaméni,Y,DM,90,0,0,1,1,0,0,3,0,1,1,0
2019-09-25,2019-2020,Ligue 1,Bordeaux,Amiens,Away,3,1,W,Aurélien Tchouaméni,Y,DM,90,0,0,2,0,1,0,3,0,0,2,1
2019-09-28,2019-2020,Ligue 1,Bordeaux,Paris Saint-Germain,Home,0,1,L,Aurélien Tchouaméni,Y,DM,90,0,0,1,0,0,0,2,0,0,2,0
2019-10-05,2019-2020,Ligue 1,Bordeaux,Toulouse,Away,3,1,W,Aurélien Tchouaméni,Y,DM,75,0,0,0,0,0,0,2,0,0,2,0
2019-11-03,2019-2020,Ligue 1,Bordeaux,Nantes,Home,2,0,W,Aurélien Tchouaméni,Y,DM,83,0,0,3,2,1,0,2,0,0,1,3
2019-11-08,2019-2020,Ligue 1,Bordeaux,Nice,Away,1,1,D,Aurélien Tchouaméni,Y,DM,90,0,0,1,1,0,0,3,0,0,0,2
2019-11-24,2019-2020,Ligue 1,Bordeaux,Monaco,Home,2,1,W,Aurélien Tchouaméni,Y,DM,86,0,0,1,1,1,0,1,0,0,0,2
2019-11-30,2019-2020,Ligue 1,Bordeaux,Reims,Away,1,1,D,Aurélien Tchouaméni,Y,DM,90,0,1,0,0,0,0,0,0,0,3,0
2019-12-08,2019-2020,Ligue 1,Bordeaux,Marseille,Away,1,3,L,Aurélien Tchouaméni,Y,DM,90,0,0,0,0,0,0,1,0,0,0,2
2019-12-21,2019-2020,Ligue 1,Bordeaux,Rennes,Away,0,1,L,Aurélien Tchouaméni,N,NA,7,0,0,1,0,0,0,0,0,0,0,0
2020-01-11,2019-2020,Ligue 1,Bordeaux,Lyon,Home,1,2,L,Aurélien Tchouaméni,Y,DM,39,0,0,0,0,0,0,1,0,0,0,1
2020-01-26,2019-2020,Ligue 1,Bordeaux,Nantes,Away,1,0,W,Aurélien Tchouaméni,N,NA,28,0,0,0,0,0,0,1,0,0,0,0
2020-02-01,2019-2020,Ligue 1,Monaco,Nîmes,Away,1,3,L,Aurélien Tchouaméni,N,NA,19,0,0,1,1,1,0,1,0,0,0,0
2020-02-04,2019-2020,Ligue 1,Monaco,Angers,Home,1,0,W,Aurélien Tchouaméni,N,NA,33,0,0,0,0,1,0,2,0,0,0,0
2020-02-29,2019-2020,Ligue 1,Monaco,Reims,Home,1,1,D,Aurélien Tchouaméni,N,NA,13,0,0,1,0,1,0,1,0,0,0,0
2020-08-23,2020-2021,Ligue 1,Monaco,Reims,Home,2,2,D,Aurélien Tchouaméni,Y,CM,90,0,1,3,0,0,0,0,1,0,2,3
2020-08-30,2020-2021,Ligue 1,Monaco,Metz,Away,1,0,W,Aurélien Tchouaméni,Y,CM,74,0,0,1,1,1,0,5,0,0,0,1
2020-09-13,2020-2021,Ligue 1,Monaco,Nantes,Home,2,1,W,Aurélien Tchouaméni,Y,CM,90,0,0,4,1,1,0,3,0,0,1,2
2020-09-19,2020-2021,Ligue 1,Monaco,Rennes,Away,1,2,L,Aurélien Tchouaméni,Y,CM,89,0,0,1,0,0,0,2,0,0,0,3
2020-09-27,2020-2021,Ligue 1,Monaco,Strasbourg,Home,3,2,W,Aurélien Tchouaméni,Y,CM,54,0,0,1,1,2,1,2,1,0,0,1
2020-10-18,2020-2021,Ligue 1,Monaco,Montpellier,Home,1,1,D,Aurélien Tchouaméni,Y,CM,58,0,0,3,1,0,0,1,1,0,2,2
2020-10-25,2020-2021,Ligue 1,Monaco,Lyon,Away,1,4,L,Aurélien Tchouaméni,Y,CM,77,0,0,2,0,0,0,1,2,0,2,1
2020-11-01,2020-2021,Ligue 1,Monaco,Bordeaux,Home,4,0,W,Aurélien Tchouaméni,Y,CM,90,0,0,1,0,0,0,1,3,0,0,2
2020-11-08,2020-2021,Ligue 1,Monaco,Nice,Away,2,1,W,Aurélien Tchouaméni,Y,CM,90,0,0,1,0,0,0,2,3,0,0,5
2020-11-20,2020-2021,Ligue 1,Monaco,Paris Saint-Germain,Home,3,2,W,Aurélien Tchouaméni,Y,DM,89,0,0,2,0,0,0,1,1,0,0,3
2020-11-29,2020-2021,Ligue 1,Monaco,Nîmes,Home,3,0,W,Aurélien Tchouaméni,Y,DM,90,0,0,0,0,0,0,0,1,0,1,3
2020-12-06,2020-2021,Ligue 1,Monaco,Lille,Away,1,2,L,Aurélien Tchouaméni,Y,CM,68,0,0,0,0,0,0,2,0,0,2,1
2020-12-12,2020-2021,Ligue 1,Monaco,Marseille,Away,1,2,L,Aurélien Tchouaméni,Y,CM,75,0,0,1,1,0,0,0,1,0,2,1
2020-12-16,2020-2021,Ligue 1,Monaco,Lens,Home,0,3,L,Aurélien Tchouaméni,Y,CM,90,0,0,0,0,0,0,1,4,1,0,1
2020-12-20,2020-2021,Ligue 1,Monaco,Dijon,Away,1,0,W,Aurélien Tchouaméni,Y,CM,90,0,0,3,1,1,0,2,3,0,0,4
2020-12-23,2020-2021,Ligue 1,Monaco,Saint-Étienne,Home,2,2,D,Aurélien Tchouaméni,Y,CM,90,0,0,0,0,0,0,1,0,0,0,4
2021-01-06,2020-2021,Ligue 1,Monaco,Lorient,Away,5,2,W,Aurélien Tchouaméni,Y,CM,90,0,1,1,0,0,0,0,2,0,1,2
2021-01-09,2020-2021,Ligue 1,Monaco,Angers,Home,3,0,W,Aurélien Tchouaméni,Y,CM,90,0,0,1,0,0,0,2,0,0,1,5
2021-01-15,2020-2021,Ligue 1,Monaco,Montpellier,Away,3,2,W,Aurélien Tchouaméni,Y,DM,90,0,0,2,0,0,0,1,0,0,1,4
