Date,Season,Competition,Team,Opponent,Venue,TeamGoals,OppGoals,Result,Player,Start,Position,Minutes,Goals,Assists,Shots,SoT,Yellow,Red,Fouls,Offsides,Crosses,TacklesWon,Interceptions
2012-09-01,2012-2013,Bundesliga,Leverkusen,Freiburg,Home,2,0,W,Dani Carvajal,Y,NA,85,0,0,NA,NA,0,0,NA,NA,NA,NA,NA
2012-09-15,2012-2013,Bundesliga,Leverkusen,Dortmund,Away,0,3,L,Dani Carvajal,Y,NA,75,0,0,NA,NA,1,0,NA,NA,NA,NA,NA
2012-09-23,2012-2013,Bundesliga,Leverkusen,Gladbach,Home,1,1,D,Dani Carvajal,Y,NA,90,0,0,NA,NA,0,0,NA,NA,NA,NA,NA
2012-09-26,2012-2013,Bundesliga,Leverkusen,Augsburg,Away,3,1,W,Dani Carvajal,N,NA,45,0,0,NA,NA,0,0,NA,NA,NA,NA,NA
2012-09-29,2012-2013,Bundesliga,Leverkusen,Greuther Fürth,Home,2,0,W,Dani Carvajal,Y,NA,90,0,0,NA,NA,0,0,NA,NA,NA,NA,NA
2012-10-07,2012-2013,Bundesliga,Leverkusen,Stuttgart,Away,2,2,D,Dani Carvajal,Y,NA,61,0,0,NA,NA,0,0,NA,NA,NA,NA,NA
2012-10-20,2012-2013,Bundesliga,Leverkusen,Mainz 05,Home,2,2,D,Dani Carvajal,Y,NA,90,0,0,NA,NA,1,0,NA,NA,NA,NA,NA
2012-10-28,2012-2013,Bundesliga,Leverkusen,Bayern Munich,Away,2,1,W,Dani Carvajal,Y,NA,90,0,0,NA,NA,1,0,NA,NA,NA,NA,NA
2013-03-30,2012-2013,Bundesliga,Leverkusen,Düsseldorf,Away,4,1,W,Dani Carvajal,Y,NA,90,0,0,NA,NA,0,0,NA,NA,NA,NA,NA
2013-04-06,2012-2013,Bundesliga,Leverkusen,Wolfsburg,Home,1,1,D,Dani Carvajal,Y,NA,90,0,0,NA,NA,0,0,NA,NA,NA,NA,NA
2013-04-13,2012-2013,Bundesliga,Leverkusen,Schalke 04,Away,2,2,D,Dani Carvajal,Y,NA,90,0,0,NA,NA,0,0,NA,NA,NA,NA,NA
2013-04-20,2012-2013,Bundesliga,Leverkusen,Hoffenheim,Home,5,0,W,Dani Carvajal,Y,NA,81,0,0,NA,NA,0,0,NA,NA,NA,NA,NA
2013-04-27,2012-2013,Bundesliga,Leverkusen,Werder Bremen,Home,1,0,W,Dani Carvajal,Y,NA,90,0,0,NA,NA,0,0,NA,NA,NA,NA,NA
2013-05-04,2012-2013,Bundesliga,Leverkusen,Nürnberg,Away,2,0,W,Dani Carvajal,Y,NA,90,0,0,NA,NA,0,0,NA,NA,NA,NA,NA
2013-05-11,2012-2013,Bundesliga,Leverkusen,Hannover 96,Home,3,1,W,Dani Carvajal,Y,NA,90,0,0,NA,NA,0,0,NA,NA,NA,NA,NA
2013-05-18,2012-2013,Bundesliga,Leverkusen,Hamburger SV,Away,1,0,W,Dani Carvajal,Y,NA,89,0,0,NA,NA,0,0,NA,NA,NA,NA,NA
2013-08-18,2013-2014,La Liga,Real Madrid,Real Betis,Home,2,1,W,Dani Carvajal,Y,NA,90,0,0,NA,NA,0,0,NA,NA,NA,NA,NA
2013-08-26,2013-2014,La Liga,Real Madrid,Granada,Away,1,0,W,Dani Carvajal,N,NA,4,0,0,NA,NA,0,0,NA,NA,NA,NA,NA
2013-09-01,2013-2014,La Liga,Real Madrid,Athletic Club,Home,3,1,W,Dani Carvajal,N,NA,4,0,0,NA,NA,0,0,NA,NA,NA,NA,NA
2013-09-14,2013-2014,La Liga,Real Madrid,Villarreal,Away,2,2,D,Dani Carvajal,Y,NA,90,0,0,NA,NA,0,0,NA,NA,NA,NA,NA
2013-09-22,2013-2014,La Liga,Real Madrid,Getafe,Home,4,1,W,Dani Carvajal,Y,NA,90,0,0,NA,NA,1,0,NA,NA,NA,NA,NA
2013-09-25,2013-2014,La Liga,Real Madrid,Elche,Away,2,1,W,Dani Carvajal,N,NA,11,0,0,NA,NA,0,0,NA,NA,NA,NA,NA
2013-10-19,2013-2014,La Liga,Real Madrid,Málaga,Home,2,0,W,Dani Carvajal,Y,NA,90,0,0,NA,NA,1,0,NA,NA,NA,NA,NA
2013-10-26,2013-2014,La Liga,Real Madrid,Barcelona,Away,1,2,L,Dani Carvajal,Y,NA,90,0,0,NA,NA,0,0,NA,NA,NA,NA,NA
2013-11-02,2013-2014,La Liga,Real Madrid,Rayo Vallecano,Away,3,2,W,Dani Carvajal,Y,NA,59,0,0,NA,NA,1,0,NA,NA,NA,NA,NA
2013-11-09,2013-2014,La Liga,Real Madrid,Real Sociedad,Home,5,1,W,Dani Carvajal,Y,NA,90,0,0,NA,NA,0,0,NA,NA,NA,NA,NA
2013-11-23,2013-2014,La Liga,Real Madrid,Almería,Away,5,0,W,Dani Carvajal,Y,NA,90,0,0,NA,NA,0,0,NA,NA,NA,NA,NA
2013-11-30,2013-2014,La Liga,Real Madrid,Valladolid,Home,4,0,W,Dani Carvajal,Y,NA,90,0,0,NA,NA,0,0,NA,NA,NA,NA,NA
2013-12-14,2013-2014,La Liga,Real Madrid,Osasuna,Away,2,2,D,Dani Carvajal,Y,NA,90,0,0,NA,NA,0,0,NA,NA,NA,NA,NA
2013-12-22,2013-2014,La Liga,Real Madrid,Valencia,Away,3,2,W,Dani Carvajal,N,NA,12,0,0,NA,NA,0,0,NA,NA,NA,NA,NA
2014-01-06,2013-2014,La Liga,Real Madrid,Celta Vigo,Home,3,0,W,Dani Carvajal,Y,NA,90,0,0,NA,NA,0,0,NA,NA,NA,NA,NA
2014-01-12,2013-2014,La Liga,Real Madrid,Espanyol,Away,1,0,W,Dani Carvajal,Y,NA,88,0,0,NA,NA,0,0,NA,NA,NA,NA,NA
2014-01-18,2013-2014,La Liga,Real Madrid,Real Betis,Away,5,0,W,Dani Carvajal,Y,NA,90,0,0,NA,NA,0,0,NA,NA,NA,NA,NA
2014-01-25,2013-2014,La Liga,Real Madrid,Granada,Home,2,0,W,Dani Carvajal,Y,NA,90,0,0,NA,NA,0,0,NA,NA,NA,NA,NA
2014-02-02,2013-2014,La Liga,Real Madrid,Athletic Club,Away,1,1,D,Dani Carvajal,Y,NA,88,0,0,NA,NA,0,0,NA,NA,NA,NA,NA
2014-02-08,2013-2014,La Liga,Real Madrid,Villarreal,Home,4,2,W,Dani Carvajal,Y,NA,90,0,0,NA,NA,0,0,NA,NA,NA,NA,NA
2014-02-22,2013-2014,La Liga,Real Madrid,Elche,Home,3,0,W,Dani Carvajal,Y,NA,90,0,0,NA,NA,0,0,NA,NA,NA,NA,NA
2014-03-02,2013-2014,La Liga,Real Madrid,Atlético Madrid,Away,2,2,D,Dani Carvajal,N,NA,20,0,0,NA,NA,0,0,NA,NA,NA,NA,NA
2014-03-09,2013-2014,La Liga,Real Madrid,Levante,Home,3,0,W,Dani Carvajal,Y,NA,90,0,0,NA,NA,0,0,NA,NA,NA,NA,NA
2014-03-15,2013-2014,La Liga,Real Madrid,Málaga,Away,1,0,W,Dani Carvajal,Y,NA,90,0,0,NA,NA,0,0,NA,NA,NA,NA,NA
2014-03-23,2013-2014,La Liga,Real Madrid,Barcelona,Home,3,4,L,Dani Carvajal,Y,NA,90,0,0,NA,NA,0,0,NA,NA,NA,NA,NA
2014-03-26,2013-2014,La Liga,Real Madrid,Sevilla,Away,1,2,L,Dani Carvajal,Y,NA,90,0,0,NA,NA,0,0,NA,NA,NA,NA,NA
2014-03-29,2013-2014,La Liga,Real Madrid,Rayo Vallecano,Home,5,0,W,Dani Carvajal,Y,NA,90,1,0,NA,NA,1,0,NA,NA,NA,NA,NA
2014-04-05,2013-2014,La Liga,Real Madrid,Real Sociedad,Away,4,0,W,Dani Carvajal,Y,NA,90,0,0,NA,NA,1,0,NA,NA,NA,NA,NA
2014-04-26,2013-2014,La Liga,Real Madrid,Osasuna,Home,4,0,W,Dani Carvajal,N,NA,17,1,0,NA,NA,0,0,NA,NA,NA,NA,NA
2014-05-04,2013-2014,La Liga,Real Madrid,Valencia,Home,2,2,D,Dani Carvajal,Y,NA,90,0,0,NA,NA,0,0,NA,NA,NA,NA,NA
2014-05-17,2013-2014,La Liga,Real Madrid,Espanyol,Home,3,1,W,Dani Carvajal,Y,NA,45,0,0,NA,NA,0,0,NA,NA,NA,NA,NA
2014-08-25,2014-2015,La Liga,Real Madrid,Córdoba,Home,2,0,W,Dani Carvajal,N,NA,17,0,0,NA,NA,0,0,NA,NA,NA,NA,NA
2014-08-31,2014-2015,La Liga,Real Madrid,Real Sociedad,Away,2,4,L,Dani Carvajal,Y,NA,76,0,0,NA,NA,1,0,NA,NA,NA,NA,NA
2014-09-23,2014-2015,La Liga,Real Madrid,Elche,Home,5,1,W,Dani Carvajal,Y,NA,64,0,0,NA,NA,1,0,NA,NA,NA,NA,NA
2014-09-27,2014-2015,La Liga,Real Madrid,Villarreal,Away,2,0,W,Dani Carvajal,Y,NA,90,0,0,NA,NA,0,0,NA,NA,NA,NA,NA
2014-10-05,2014-2015,La Liga,Real Madrid,Athletic Club,Home,5,0,W,Dani Carvajal,Y,NA,90,0,0,NA,NA,0,0,NA,NA,NA,NA,NA
2014-10-18,2014-2015,La Liga,Real Madrid,Levante,Away,5,0,W,Dani Carvajal,Y,NA,90,0,0,NA,NA,0,0,NA,NA,NA,NA,NA
2014-10-25,2014-2015,La Liga,Real Madrid,Barcelona,Home,3,1,W,Dani Carvajal,Y,NA,90,0,0,NA,NA,1,0,NA,NA,NA,NA,NA
2014-11-01,2014-2015,La Liga,Real Madrid,Granada,Away,4,0,W,Dani Carvajal,Y,NA,37,0,0,NA,NA,0,0,NA,NA,NA,NA,NA
