Date,Season,Competition,Team,Opponent,Venue,TeamGoals,OppGoals,Result,Player,Start,Position,Minutes,Goals,Assists,Shots,SoT,Yellow,Red,Fouls,Offsides,Crosses,TacklesWon,Interceptions
2019-08-17,2019-2020,La Liga,Mallorca,Eibar,Home,2,1,W,Dani Rodríguez,Y,RW,90,1,0,4,1,0,0,1,1,2,1,1
2019-08-25,2019-2020,La Liga,Mallorca,Real Sociedad,Home,0,1,L,Dani Rodríguez,Y,DM,83,0,0,2,1,0,0,2,0,1,1,1
2019-09-01,2019-2020,La Liga,Mallorca,Valencia,Away,0,2,L,Dani Rodríguez,Y,DM,63,0,0,1,0,0,0,4,0,1,2,2
2019-09-13,2019-2020,La Liga,Mallorca,Athletic Club,Home,0,0,D,Dani Rodríguez,Y,DM,62,0,0,2,0,1,0,2,0,1,1,0
2019-09-22,2019-2020,La Liga,Mallorca,Getafe,Away,2,4,L,Dani Rodríguez,Y,RW,70,0,0,1,0,0,0,1,0,1,0,0
2019-09-25,2019-2020,La Liga,Mallorca,Atlético Madrid,Home,0,2,L,Dani Rodríguez,Y,RW,90,0,0,0,0,0,0,0,0,0,0,0
2019-09-29,2019-2020,La Liga,Mallorca,Alavés,Away,0,2,L,Dani Rodríguez,N,RW,25,0,0,0,0,0,0,0,0,0,0,0
2019-10-06,2019-2020,La Liga,Mallorca,Espanyol,Home,2,0,W,Dani Rodríguez,Y,AM,90,0,0,2,0,0,0,1,0,1,0,1
2019-10-19,2019-2020,La Liga,Mallorca,Real Madrid,Home,1,0,W,Dani Rodríguez,Y,FW,90,0,0,2,0,0,0,3,0,0,1,1
2019-10-26,2019-2020,La Liga,Mallorca,Leganés,Away,0,1,L,Dani Rodríguez,Y,FW,58,0,0,1,1,0,0,0,0,0,0,0
2019-10-31,2019-2020,La Liga,Mallorca,Osasuna,Home,2,2,D,Dani Rodríguez,Y,FW,80,0,0,1,0,0,0,0,0,0,1,0
2019-11-03,2019-2020,La Liga,Mallorca,Valladolid,Away,0,3,L,Dani Rodríguez,Y,RW,90,0,0,0,0,0,0,3,0,0,1,0
2019-11-10,2019-2020,La Liga,Mallorca,Villarreal,Home,3,1,W,Dani Rodríguez,Y,FW,90,1,0,2,1,1,0,4,0,0,2,0
2019-11-22,2019-2020,La Liga,Mallorca,Levante,Away,1,2,L,Dani Rodríguez,Y,AM,90,1,0,3,2,0,0,1,1,4,0,0
2019-11-30,2019-2020,La Liga,Mallorca,Real Betis,Home,1,2,L,Dani Rodríguez,Y,FW,76,0,0,1,0,0,0,1,1,2,1,1
2019-12-07,2019-2020,La Liga,Mallorca,Barcelona,Away,2,5,L,Dani Rodríguez,Y,LM,90,0,0,3,0,0,0,1,0,0,2,6
2019-12-15,2019-2020,La Liga,Mallorca,Celta Vigo,Away,2,2,D,Dani Rodríguez,Y,DM,90,0,0,1,0,0,0,2,1,0,2,4
2019-12-21,2019-2020,La Liga,Mallorca,Sevilla,Home,0,2,L,Dani Rodríguez,Y,AM,90,0,0,0,0,0,0,2,0,1,0,3
2020-01-05,2019-2020,La Liga,Mallorca,Granada,Away,0,1,L,Dani Rodríguez,Y,AM,90,0,0,2,1,0,0,3,0,0,2,0
2020-01-19,2019-2020,La Liga,Mallorca,Valencia,Home,4,1,W,Dani Rodríguez,Y,RM,90,1,1,2,1,0,0,5,0,1,1,1
2020-01-26,2019-2020,La Liga,Mallorca,Real Sociedad,Away,0,3,L,Dani Rodríguez,Y,RM,90,0,0,0,0,0,0,0,0,5,1,0
2020-02-01,2019-2020,La Liga,Mallorca,Valladolid,Home,0,1,L,Dani Rodríguez,Y,DM,58,0,0,1,0,1,0,3,0,1,1,2
2020-02-09,2019-2020,La Liga,Mallorca,Espanyol,Away,0,1,L,Dani Rodríguez,Y,AM,90,0,0,0,0,0,0,1,0,1,1,0
2020-02-15,2019-2020,La Liga,Mallorca,Alavés,Home,1,0,W,Dani Rodríguez,Y,AM,90,0,0,2,0,0,0,2,0,2,4,0
2020-02-21,2019-2020,La Liga,Mallorca,Real Betis,Away,3,3,D,Dani Rodríguez,Y,AM,90,0,0,1,1,0,0,0,0,0,1,1
2020-03-01,2019-2020,La Liga,Mallorca,Getafe,Home,0,1,L,Dani Rodríguez,Y,RM,90,0,0,1,0,0,0,2,1,0,2,1
2020-03-07,2019-2020,La Liga,Mallorca,Eibar,Away,2,1,W,Dani Rodríguez,Y,CM,90,1,0,4,2,1,0,2,0,4,0,1
2020-06-13,2019-2020,La Liga,Mallorca,Barcelona,Home,0,4,L,Dani Rodríguez,Y,LM,90,0,0,1,0,1,0,2,1,5,0,1
2020-06-19,2019-2020,La Liga,Mallorca,Leganés,Home,1,1,D,Dani Rodríguez,Y,AM,51,0,0,0,0,1,0,1,0,1,1,0
2020-06-24,2019-2020,La Liga,Mallorca,Real Madrid,Away,0,2,L,Dani Rodríguez,Y,AM,90,0,0,0,0,0,0,4,0,6,1,2
2020-06-27,2019-2020,La Liga,Mallorca,Athletic Club,Away,1,3,L,Dani Rodríguez,Y,CM,90,0,0,3,0,0,0,2,0,1,0,0
2020-06-30,2019-2020,La Liga,Mallorca,Celta Vigo,Home,5,1,W,Dani Rodríguez,Y,DM,73,0,0,1,0,0,0,3,0,1,0,1
2020-07-03,2019-2020,La Liga,Mallorca,Atlético Madrid,Away,0,3,L,Dani Rodríguez,Y,LM,90,0,0,0,0,0,0,0,0,3,2,2
2020-07-09,2019-2020,La Liga,Mallorca,Levante,Home,2,0,W,Dani Rodríguez,Y,AM,90,0,0,3,0,1,0,1,0,2,0,2
2020-07-12,2019-2020,La Liga,Mallorca,Sevilla,Away,0,2,L,Dani Rodríguez,Y,CM,90,0,0,2,0,0,0,0,0,0,0,1
2020-07-16,2019-2020,La Liga,Mallorca,Granada,Home,1,2,L,Dani Rodríguez,Y,CM,90,0,1,2,1,0,0,2,0,1,0,1
2020-07-19,2019-2020,La Liga,Mallorca,Osasuna,Away,2,2,D,Dani Rodríguez,Y,RM,90,0,0,0,0,0,0,1,0,6,0,0
2021-08-14,2021-2022,La Liga,Mallorca,Real Betis,Home,1,1,D,Dani Rodríguez,Y,FW,89,0,1,0,0,0,0,3,0,3,0,1
2021-08-21,2021-2022,La Liga,Mallorca,Alavés,Away,1,0,W,Dani Rodríguez,Y,AM,90,0,0,2,0,1,0,0,0,2,0,1
2021-08-27,2021-2022,La Liga,Mallorca,Espanyol,Home,1,0,W,Dani Rodríguez,Y,AM,90,1,0,1,1,0,0,2,0,2,1,0
2021-09-11,2021-2022,La Liga,Mallorca,Athletic Club,Away,0,2,L,Dani Rodríguez,Y,AM,90,0,0,2,0,0,0,2,0,0,1,0
2021-09-19,2021-2022,La Liga,Mallorca,Villarreal,Home,0,0,D,Dani Rodríguez,Y,FW,90,0,0,3,0,0,0,4,0,1,2,1
2021-09-26,2021-2022,La Liga,Mallorca,Osasuna,Home,2,3,L,Dani Rodríguez,Y,AM,90,1,0,3,2,0,0,1,0,1,1,0
2021-10-02,2021-2022,La Liga,Mallorca,Levante,Home,1,0,W,Dani Rodríguez,Y,AM,90,0,0,1,1,0,0,4,0,0,0,0
