Date,Season,Competition,Team,Opponent,Venue,TeamGoals,OppGoals,Result,Player,Start,Position,Minutes,Goals,Assists,Shots,SoT,Yellow,Red,Fouls,Offsides,Crosses,TacklesWon,Interceptions
2021-09-26,2021-2022,La Liga,Mallorca,Osasuna,Home,2,3,L,Dominik Greif,Y,GK,90,0,0,NA,6,0,0,NA,NA,NA,NA,NA
2021-12-01,2021-2022,Copa del Rey,Mallorca,Gimn Segoviana,Away,2,0,W,Dominik Greif,Y,GK,120,0,0,NA,1,0,0,NA,NA,NA,NA,NA
2023-05-28,2022-2023,La Liga,Mallorca,Barcelona,Away,0,3,L,Dominik Greif,Y,GK,90,0,0,NA,8,0,0,NA,NA,NA,NA,NA
2024-03-30,2023-2024,La Liga,Mallorca,Valencia,Away,0,0,D,Dominik Greif,Y,GK,90,0,0,NA,4,0,0,NA,NA,NA,NA,NA
2024-08-18,2024-2025,La Liga,Mallorca,Real Madrid,Home,1,1,D,Dominik Greif,Y,GK,90,0,0,NA,6,0,0,NA,NA,NA,NA,NA
2024-08-24,2024-2025,La Liga,Mallorca,Osasuna,Away,0,1,L,Dominik Greif,Y,GK,90,0,0,NA,5,0,0,NA,NA,NA,NA,NA
2024-08-31,2024-2025,La Liga,Mallorca,Leganés,Away,1,0,W,Dominik Greif,Y,GK,90,0,0,NA,2,0,0,NA,NA,NA,NA,NA
2024-09-14,2024-2025,La Liga,Mallorca,Villarreal,Home,1,2,L,Dominik Greif,Y,GK,90,0,0,NA,4,0,0,NA,NA,NA,NA,NA
2024-09-23,2024-2025,La Liga,Mallorca,Real Betis,Away,2,1,W,Dominik Greif,Y,GK,90,0,0,NA,6,0,0,NA,NA,NA,NA,NA
2024-10-05,2024-2025,La Liga,Mallorca,Espanyol,Away,1,2,L,Dominik Greif,Y,GK,90,0,0,NA,3,0,0,NA,NA,NA,NA,NA
2024-10-20,2024-2025,La Liga,Mallorca,Rayo Vallecano,Home,1,0,W,Dominik Greif,Y,GK,90,0,0,NA,2,0,0,NA,NA,NA,NA,NA
2024-10-28,2024-2025,La Liga,Mallorca,Athletic Club,Home,0,0,D,Dominik Greif,Y,GK,90,0,0,NA,1,0,0,NA,NA,NA,NA,NA
2024-11-10,2024-2025,La Liga,Mallorca,Atlético Madrid,Home,0,1,L,Dominik Greif,Y,GK,90,0,0,NA,2,0,0,NA,NA,NA,NA,NA
2024-11-23,2024-2025,La Liga,Mallorca,Las Palmas,Away,3,2,W,Dominik Greif,Y,GK,90,0,0,NA,2,0,0,NA,NA,NA,NA,NA
2024-11-29,2024-2025,La Liga,Mallorca,Valencia,Home,2,1,W,Dominik Greif,Y,GK,90,0,0,NA,0,0,0,NA,NA,NA,NA,NA
2024-12-06,2024-2025,La Liga,Mallorca,Celta Vigo,Away,0,2,L,Dominik Greif,Y,GK,90,0,0,NA,5,0,0,NA,NA,NA,NA,NA
2024-12-14,2024-2025,La Liga,Mallorca,Girona,Home,2,1,W,Dominik Greif,Y,GK,90,0,0,NA,1,0,0,NA,NA,NA,NA,NA
2024-12-21,2024-2025,La Liga,Mallorca,Getafe,Away,1,0,W,Dominik Greif,Y,GK,90,0,0,NA,5,0,0,NA,NA,NA,NA,NA
2025-01-20,2024-2025,La Liga,Mallorca,Villarreal,Away,0,4,L,Dominik Greif,Y,GK,90,0,0,NA,8,0,0,NA,NA,NA,NA,NA
2025-01-25,2024-2025,La Liga,Mallorca,Real Betis,Home,0,1,L,Dominik Greif,Y,GK,90,0,0,NA,3,0,0,NA,NA,NA,NA,NA
2025-02-01,2024-2025,La Liga,Mallorca,Atlético Madrid,Away,0,2,L,Dominik Greif,Y,GK,90,0,0,NA,5,0,0,NA,NA,NA,NA,NA
2025-02-10,2024-2025,La Liga,Mallorca,Osasuna,Home,1,1,D,Dominik Greif,Y,GK,90,0,0,NA,4,0,0,NA,NA,NA,NA,NA
2025-02-16,2024-2025,La Liga,Mallorca,Las Palmas,Home,3,1,W,Dominik Greif,Y,GK,90,0,0,NA,4,0,0,NA,NA,NA,NA,NA
2025-02-24,2024-2025,La Liga,Mallorca,Sevilla,Away,1,1,D,Dominik Greif,Y,GK,90,0,0,NA,3,0,0,NA,NA,NA,NA,NA
2025-03-02,2024-2025,La Liga,Mallorca,Alavés,Home,1,1,D,Dominik Greif,Y,GK,90,0,0,NA,7,0,0,NA,NA,NA,NA,NA
2025-03-09,2024-2025,La Liga,Mallorca,Athletic Club,Away,1,1,D,Dominik Greif,Y,GK,90,0,0,NA,2,0,0,NA,NA,NA,NA,NA
2025-03-15,2024-2025,La Liga,Mallorca,Espanyol,Home,2,1,W,Dominik Greif,Y,GK,90,0,0,NA,1,0,0,NA,NA,NA,NA,NA
2025-03-30,2024-2025,La Liga,Mallorca,Valencia,Away,0,1,L,Dominik Greif,Y,GK,90,0,0,NA,2,0,0,NA,NA,NA,NA,NA
2025-04-05,2024-2025,La Liga,Mallorca,Celta Vigo,Home,1,2,L,Dominik Greif,Y,GK,90,0,0,NA,4,0,0,NA,NA,NA,NA,NA
2025-04-12,2024-2025,La Liga,Mallorca,Real Sociedad,Away,2,0,W,Dominik Greif,Y,GK,90,0,0,NA,4,0,0,NA,NA,NA,NA,NA
2025-04-19,2024-2025,La Liga,Mallorca,Leganés,Home,0,0,D,Dominik Greif,Y,GK,90,0,0,NA,1,0,0,NA,NA,NA,NA,NA
2025-05-05,2024-2025,La Liga,Mallorca,Girona,Away,0,1,L,Dominik Greif,Y,GK,90,0,0,NA,6,0,0,NA,NA,NA,NA,NA
2025-05-10,2024-2025,La Liga,Mallorca,Valladolid,Home,2,1,W,Dominik Greif,Y,GK,90,0,0,NA,7,0,0,NA,NA,NA,NA,NA
2025-05-18,2024-2025,La Liga,Mallorca,Getafe,Home,1,2,L,Dominik Greif,Y,GK,90,0,0,NA,4,0,0,NA,NA,NA,NA,NA
2025-05-24,2024-2025,La Liga,Mallorca,Rayo Vallecano,Away,0,0,D,Dominik Greif,Y,GK,90,0,0,NA,8,0,0,NA,NA,NA,NA,NA
