Date,Season,Competition,Team,Opponent,Venue,TeamGoals,OppGoals,Result,Player,Start,Position,Minutes,Goals,Assists,Shots,SoT,Yellow,Red,Fouls,Offsides,Crosses,TacklesWon,Interceptions
2015-08-16,2015-2016,Uruguayan Primera División,Peñarol,Cerro,Away,3,0,W,Federico Valverde,Y,,55,0,0,0,0,0,0,0,0,0,0,0
2015-08-22,2015-2016,Uruguayan Primera División,Peñarol,El Tanque Sisley,Home,2,2,D,Federico Valverde,Y,,53,0,0,0,0,0,0,0,0,0,0,0
2016-02-07,2015-2016,Uruguayan Primera División,Peñarol,Cerro,Home,2,1,W,Federico Valverde,N,,17,0,0,0,0,0,0,0,0,0,0,0
2016-03-19,2015-2016,Uruguayan Primera División,Peñarol,Racing,Away,1,0,W,Federico Valverde,N,,2,0,0,0,0,0,0,0,0,0,0,0
2016-04-03,2015-2016,Uruguayan Primera División,Peñarol,River Plate,Home,0,2,L,Federico Valverde,N,,34,0,0,0,0,1,0,0,0,0,0,0
2016-04-09,2015-2016,Uruguayan Primera División,Peñarol,Danubio,Home,2,1,W,Federico Valverde,Y,,90,0,0,0,0,0,0,0,0,0,0,0
2016-04-24,2015-2016,Uruguayan Primera División,Peñarol,Rentistas,Away,3,1,W,Federico Valverde,Y,,90,0,0,0,0,0,0,0,0,0,0,0
2016-04-29,2015-2016,Uruguayan Primera División,Peñarol,Liverpool,Home,1,0,W,Federico Valverde,Y,,90,0,0,0,0,0,0,0,0,0,0,0
2016-05-07,2015-2016,Uruguayan Primera División,Peñarol,Villa Teresa,Away,3,0,W,Federico Valverde,Y,,90,0,0,0,0,0,0,0,0,0,0,0
2016-05-15,2015-2016,Uruguayan Primera División,Peñarol,Nacional,Home,2,2,D,Federico Valverde,Y,,74,0,0,0,0,0,0,0,0,0,0,0
2016-05-21,2015-2016,Uruguayan Primera División,Peñarol,Montevideo Wanderers,Away,1,4,L,Federico Valverde,Y,,59,0,0,0,0,0,0,0,0,0,0,0
2016-06-04,2015-2016,Uruguayan Primera División,Peñarol,Juventud,Away,1,1,D,Federico Valverde,N,,32,0,0,0,0,0,0,0,0,0,0,0
2016-06-12,2015-2016,Championship Play-off,Peñarol,Plaza Colonia,Home,3,1,W,Federico Valverde,Y,,120,0,0,0,0,0,0,0,0,0,0,0
2017-09-10,2017-2018,La Liga,Dep La Coruña,Real Sociedad,Home,2,4,L,Federico Valverde,N,,27,0,0,0,0,0,0,0,0,0,1,2
2017-09-16,2017-2018,La Liga,Dep La Coruña,Real Betis,Away,1,2,L,Federico Valverde,N,,37,0,0,0,0,0,0,0,0,0,0,0
2017-09-20,2017-2018,La Liga,Dep La Coruña,Alavés,Home,1,0,W,Federico Valverde,Y,LM,90,0,0,0,3,0,0,0,1,1,1,1
2017-09-24,2017-2018,La Liga,Dep La Coruña,Espanyol,Away,1,4,L,Federico Valverde,Y,AM,90,0,0,0,3,0,0,1,1,1,0,2
2017-09-30,2017-2018,La Liga,Dep La Coruña,Getafe,Home,2,1,W,Federico Valverde,Y,AM,83,0,0,0,2,2,0,1,0,1,0,2
2017-10-15,2017-2018,La Liga,Dep La Coruña,Eibar,Away,0,0,D,Federico Valverde,Y,AM,74,0,0,0,2,0,0,0,0,0,0,0
2017-10-23,2017-2018,La Liga,Dep La Coruña,Girona,Home,1,2,L,Federico Valverde,Y,AM,63,0,0,0,0,0,0,0,1,1,1,0
2017-10-30,2017-2018,La Liga,Dep La Coruña,Las Palmas,Away,3,1,W,Federico Valverde,Y,AM,60,0,0,0,1,1,0,0,1,0,0,0
2017-11-04,2017-2018,La Liga,Dep La Coruña,Atlético Madrid,Home,0,1,L,Federico Valverde,Y,AM,90,0,0,0,0,0,0,1,0,1,3,1
2017-11-19,2017-2018,La Liga,Dep La Coruña,Málaga,Away,2,3,L,Federico Valverde,Y,CM,90,0,0,0,1,0,0,1,0,0,1,2
2017-11-26,2017-2018,La Liga,Dep La Coruña,Athletic Club,Home,2,2,D,Federico Valverde,Y,AM,90,0,0,0,1,0,0,1,0,1,5,2
2017-12-02,2017-2018,La Liga,Dep La Coruña,Sevilla,Away,0,2,L,Federico Valverde,Y,CM,90,0,0,0,0,0,0,1,0,0,1,0
2017-12-09,2017-2018,La Liga,Dep La Coruña,Leganés,Home,1,0,W,Federico Valverde,N,,4,0,0,0,0,0,0,1,0,0,0,0
2017-12-17,2017-2018,La Liga,Dep La Coruña,Barcelona,Away,0,4,L,Federico Valverde,N,,28,0,0,1,0,0,0,2,0,0,0,1
2017-12-23,2017-2018,La Liga,Dep La Coruña,Celta Vigo,Home,1,3,L,Federico Valverde,N,,31,0,0,1,1,0,0,2,0,2,0,1
2018-01-13,2017-2018,La Liga,Dep La Coruña,Valencia,Home,1,2,L,Federico Valverde,N,,21,0,0,0,0,0,0,0,0,1,0,0
