Date,Season,Competition,Team,Opponent,Venue,TeamGoals,OppGoals,Result,Player,Start,Position,Minutes,Goals,Assists,Shots,SoT,Yellow,Red,Fouls,Offsides,Crosses,TacklesWon,Interceptions
2013-09-15,2013-2014,La Liga,Rayo Vallecano,Málaga,Away,0,5,L,Johan Mojica,N,NA,23,0,0,0,0,0,0,0,0,0,0,0
2013-09-21,2013-2014,La Liga,Rayo Vallecano,Barcelona,Home,0,4,L,Johan Mojica,Y,NA,90,0,0,0,0,0,0,0,0,0,0,0
2013-09-25,2013-2014,La Liga,Rayo Vallecano,Sevilla,Away,1,4,L,Johan Mojica,Y,NA,90,0,0,0,0,1,0,0,0,0,0,0
2013-09-28,2013-2014,La Liga,Rayo Vallecano,Valencia,Away,0,1,L,Johan Mojica,Y,NA,90,0,0,0,0,0,0,0,0,0,0,0
2013-10-05,2013-2014,La Liga,Rayo Vallecano,Real Sociedad,Home,1,0,W,Johan Mojica,Y,NA,45,0,0,0,0,0,0,0,0,0,0,0
2013-10-20,2013-2014,La Liga,Rayo Vallecano,Almería,Away,1,0,W,Johan Mojica,N,NA,26,0,0,0,0,0,0,0,0,0,0,0
2013-10-25,2013-2014,La Liga,Rayo Vallecano,Valladolid,Home,0,3,L,Johan Mojica,Y,NA,90,0,0,0,0,0,0,0,0,0,0,0
2013-11-09,2013-2014,La Liga,Rayo Vallecano,Celta Vigo,Home,2,0,W,Johan Mojica,N,NA,16,0,0,0,0,0,0,0,0,0,0,0
2013-12-14,2013-2014,La Liga,Rayo Vallecano,Granada,Home,0,2,L,Johan Mojica,N,NA,46,0,0,0,0,0,0,0,0,0,0,0
2013-12-22,2013-2014,La Liga,Rayo Vallecano,Athletic Club,Away,1,2,L,Johan Mojica,Y,NA,90,0,0,0,0,0,0,0,0,0,0,0
2014-01-06,2013-2014,La Liga,Rayo Vallecano,Villarreal,Home,2,5,L,Johan Mojica,N,NA,45,0,0,0,0,1,0,0,0,0,0,0
2014-02-15,2013-2014,La Liga,Rayo Vallecano,Barcelona,Away,0,6,L,Johan Mojica,Y,NA,90,0,0,0,0,0,0,0,0,0,0,0
2017-09-10,2017-2018,La Liga,Girona,Athletic Club,Away,0,2,L,Johan Mojica,N,NA,24,0,0,0,0,0,1,0,0,2,0,0
2017-09-17,2017-2018,La Liga,Girona,Sevilla,Home,0,1,L,Johan Mojica,Y,DM,90,0,0,1,0,0,1,2,0,5,1,0
2017-09-20,2017-2018,La Liga,Girona,Leganés,Away,0,0,D,Johan Mojica,Y,DM,90,0,0,1,0,0,3,2,0,1,1,0
2017-09-23,2017-2018,La Liga,Girona,Barcelona,Home,0,3,L,Johan Mojica,N,NA,22,0,0,1,0,0,0,0,1,2,2,1
