Date,Season,Competition,Team,Opponent,Venue,TeamGoals,OppGoals,Result,Player,Start,Position,Minutes,Goals,Assists,Shots,SoT,Yellow,Red,Fouls,Offsides,Crosses,TacklesWon,Interceptions
2019-08-25,2019-2020,Championship,Birmingham City,Swansea City,Away,0,3,L,Jude Bellingham,No,NA,15,0,0,0,0,1,0,1,0,0,0,0
2019-08-31,2019-2020,Championship,Birmingham City,Stoke City,Home,2,1,W,Jude Bellingham,No,NA,61,1,1,0,1,1,0,1,2,0,1,1
2019-09-14,2019-2020,Championship,Birmingham City,Charlton Athletic,Away,1,0,W,Jude Bellingham,Yes,LM,71,1,0,1,1,0,0,2,1,0,1,0
2019-09-21,2019-2020,Championship,Birmingham City,Preston North End,Home,0,1,L,Jude Bellingham,Yes,LM,60,0,0,0,0,0,0,1,1,6,1,0
2019-09-28,2019-2020,Championship,Birmingham City,Derby County,Away,2,3,L,Jude Bellingham,No,NA,15,0,0,1,0,0,0,0,0,2,0,0
2019-10-01,2019-2020,Championship,Birmingham City,Wigan Athletic,Away,0,1,L,Jude Bellingham,No,NA,8,0,0,1,0,0,0,0,0,0,0,0
2019-10-04,2019-2020,Championship,Birmingham City,Middlesbrough,Home,2,1,W,Jude Bellingham,Yes,CM,73,0,0,2,0,0,0,4,1,2,2,2
2019-10-19,2019-2020,Championship,Birmingham City,Leeds United,Away,0,1,L,Jude Bellingham,Yes,CM,75,0,0,1,1,0,0,2,1,1,1,2
2019-10-22,2019-2020,Championship,Birmingham City,Blackburn Rovers,Home,1,0,W,Jude Bellingham,Yes,CM,61,0,0,1,1,0,0,1,0,0,0,0
2019-10-26,2019-2020,Championship,Birmingham City,Luton Town,Home,2,1,W,Jude Bellingham,Yes,CM,86,0,0,0,0,0,0,0,0,2,3,0
2019-11-02,2019-2020,Championship,Birmingham City,Cardiff City,Away,2,4,L,Jude Bellingham,Yes,CM,68,0,0,1,0,0,0,1,0,1,1,3
2019-11-09,2019-2020,Championship,Birmingham City,Fulham,Home,0,1,L,Jude Bellingham,Yes,DM,90,0,0,2,0,1,0,0,3,1,1,0
2019-11-23,2019-2020,Championship,Birmingham City,Huddersfield Town,Away,1,1,D,Jude Bellingham,Yes,DM,79,0,0,2,0,0,0,3,1,1,2,3
2019-11-27,2019-2020,Championship,Birmingham City,Sheffield Wednesday,Away,1,1,D,Jude Bellingham,Yes,CM,81,0,0,1,0,0,0,0,1,0,3,1
2019-11-30,2019-2020,Championship,Birmingham City,Millwall,Home,1,1,D,Jude Bellingham,Yes,CM,90,0,0,2,0,0,0,4,0,2,1,1
2019-12-07,2019-2020,Championship,Birmingham City,Reading,Away,3,2,W,Jude Bellingham,Yes,FW,90,0,0,3,0,0,0,1,2,1,3,0
2019-12-11,2019-2020,Championship,Birmingham City,QPR,Home,0,2,L,Jude Bellingham,Yes,AM,63,0,0,1,0,0,0,1,3,0,1,0
2019-12-14,2019-2020,Championship,Birmingham City,West Brom,Home,2,3,L,Jude Bellingham,Yes,LM,73,0,1,2,0,0,0,2,2,6,2,4
2019-12-21,2019-2020,Championship,Birmingham City,Hull City,Away,0,3,L,Jude Bellingham,Yes,AM,53,0,0,1,0,0,0,0,0,1,0,1
2019-12-26,2019-2020,Championship,Birmingham City,Blackburn Rovers,Away,1,1,D,Jude Bellingham,No,NA,14,0,0,0,0,0,0,0,1,0,0,0
2019-12-29,2019-2020,Championship,Birmingham City,Leeds United,Home,4,5,L,Jude Bellingham,Yes,DM,73,1,0,2,1,0,0,1,2,2,2,0
2020-01-01,2019-2020,Championship,Birmingham City,Wigan Athletic,Home,2,3,L,Jude Bellingham,Yes,RM,90,0,0,0,0,0,0,1,2,2,4,1
2020-01-11,2019-2020,Championship,Birmingham City,Luton Town,Away,2,1,W,Jude Bellingham,No,NA,13,0,0,0,0,0,0,0,0,0,1,0
2020-01-18,2019-2020,Championship,Birmingham City,Cardiff City,Home,1,1,D,Jude Bellingham,Yes,DM,79,1,0,2,2,0,0,1,0,1,2,0
2020-01-21,2019-2020,Championship,Birmingham City,Middlesbrough,Away,1,1,D,Jude Bellingham,No,NA,14,0,0,0,0,0,0,0,1,0,0,0
2020-02-01,2019-2020,Championship,Birmingham City,Nottingham Forest,Home,2,1,W,Jude Bellingham,Yes,LM,78,0,0,0,0,0,0,0,3,4,1,0
2020-02-07,2019-2020,Championship,Birmingham City,Bristol City,Away,3,1,W,Jude Bellingham,Yes,LM,88,0,0,3,0,0,0,3,1,3,1,0
2020-02-11,2019-2020,Championship,Birmingham City,Barnsley,Away,1,0,W,Jude Bellingham,Yes,RM,87,0,1,2,0,0,0,0,3,4,3,1
2020-02-15,2019-2020,Championship,Birmingham City,Brentford,Home,1,1,D,Jude Bellingham,Yes,LM,90,0,0,2,0,0,0,0,2,2,0,1
2020-02-22,2019-2020,Championship,Birmingham City,Sheffield Wednesday,Home,3,3,D,Jude Bellingham,Yes,LM,90,0,0,2,1,0,0,0,4,2,2,0
2020-02-26,2019-2020,Championship,Birmingham City,Millwall,Away,0,0,D,Jude Bellingham,Yes,LM,71,0,0,1,0,0,0,1,2,0,7,0
2020-03-07,2019-2020,Championship,Birmingham City,Reading,Home,1,3,L,Jude Bellingham,Yes,LM,71,0,0,1,0,1,0,1,1,7,1,0
2020-06-20,2019-2020,Championship,Birmingham City,West Brom,Away,0,0,D,Jude Bellingham,Yes,CM,69,0,0,1,0,0,0,1,1,0,2,1
2020-06-27,2019-2020,Championship,Birmingham City,Hull City,Home,3,3,D,Jude Bellingham,Yes,LM,90,0,0,0,0,0,0,2,2,3,1,2
2020-07-01,2019-2020,Championship,Birmingham City,Huddersfield Town,Home,0,3,L,Jude Bellingham,Yes,CM,90,0,0,0,0,0,0,1,7,1,2,2
2020-07-04,2019-2020,Championship,Birmingham City,Fulham,Away,0,1,L,Jude Bellingham,Yes,AM,56,0,0,2,1,1,0,3,0,0,1,0
2020-07-08,2019-2020,Championship,Birmingham City,Swansea City,Home,1,3,L,Jude Bellingham,No,NA,45,0,0,1,0,0,0,3,1,2,1,0
2020-07-12,2019-2020,Championship,Birmingham City,Stoke City,Away,0,2,L,Jude Bellingham,Yes,CM,77,0,0,2,0,1,0,2,2,5,1,0
2020-07-15,2019-2020,Championship,Birmingham City,Charlton Athletic,Home,1,1,D,Jude Bellingham,No,NA,33,0,0,0,0,1,0,1,2,3,1,2
2020-07-18,2019-2020,Championship,Birmingham City,Preston North End,Away,0,2,L,Jude Bellingham,Yes,CM,90,0,0,3,0,1,0,1,1,12,1,3
2020-07-22,2019-2020,Championship,Birmingham City,Derby County,Home,1,3,L,Jude Bellingham,Yes,AM,74,0,0,5,3,0,0,1,0,4,2,0
2020-09-19,2020-2021,Bundesliga,Dortmund,Gladbach,Home,3,0,W,Jude Bellingham,Y,DM,66,0,1,0,0,0,0,2,0,0,0,1
