Date,Season,Competition,Team,Opponent,Venue,TeamGoals,OppGoals,Result,Player,Start,Position,Minutes,Goals,Assists,Shots,SoT,Yellow,Red,Fouls,Offsides,Crosses,TacklesWon,Interceptions
2015-12-02,2015-2016,Ligue 1,Monaco,Caen,Home,1,1,D,Kylian Mbappé,N,NA,3,0,0,0,0,0,0,0,0,0,0,0
2015-12-13,2015-2016,Ligue 1,Monaco,Saint-Étienne,Home,1,0,W,Kylian Mbappé,N,NA,21,0,0,0,0,0,0,0,0,1,1,1
2016-01-24,2015-2016,Ligue 1,Monaco,Toulouse,Home,4,0,W,Kylian Mbappé,N,NA,6,0,0,0,0,0,0,0,0,1,0,0
2016-02-14,2015-2016,Ligue 1,Monaco,Saint-Étienne,Away,1,1,D,Kylian Mbappé,N,NA,13,0,0,0,0,0,0,0,0,2,1,0
2016-02-20,2015-2016,Ligue 1,Monaco,Troyes,Home,3,1,W,Kylian Mbappé,N,NA,18,1,0,1,1,0,0,0,0,0,0,0
2016-02-28,2015-2016,Ligue 1,Monaco,Nantes,Away,0,0,D,Kylian Mbappé,Y,RM,88,1,0,2,0,1,0,2,2,1,1,1
2016-03-04,2015-2016,Ligue 1,Monaco,Caen,Away,2,2,D,Kylian Mbappé,N,NA,3,0,0,0,0,0,0,0,1,0,0,1
2016-03-11,2015-2016,Ligue 1,Monaco,Reims,Home,2,2,D,Kylian Mbappé,N,NA,5,0,0,0,0,0,0,1,0,0,0,0
2016-03-20,2015-2016,Ligue 1,Monaco,Paris Saint-Germain,Away,2,0,W,Kylian Mbappé,Y,FW,80,0,0,1,0,0,0,0,1,4,0,1
2016-04-01,2015-2016,Ligue 1,Monaco,Bordeaux,Home,1,2,L,Kylian Mbappé,N,NA,26,0,1,1,1,0,0,1,0,2,1,0
2016-04-10,2015-2016,Ligue 1,Monaco,Lille,Away,1,4,L,Kylian Mbappé,N,NA,32,0,1,0,0,0,0,1,0,1,1,0
2016-08-12,2016-2017,Ligue 1,Monaco,Guingamp,Home,2,2,D,Kylian Mbappé,Y,FW,40,0,0,0,0,0,0,0,2,1,0,1
2016-10-01,2016-2017,Ligue 1,Monaco,Metz,Away,7,0,W,Kylian Mbappé,N,NA,9,0,1,0,0,0,0,1,0,0,0,0
2016-10-21,2016-2017,Ligue 1,Monaco,Montpellier,Home,6,2,W,Kylian Mbappé,Y,AM,90,1,1,3,1,0,0,0,1,3,4,0
2016-10-29,2016-2017,Ligue 1,Monaco,Saint-Étienne,Away,1,1,D,Kylian Mbappé,Y,AM,84,0,0,3,2,0,0,1,0,2,1,0
2016-11-05,2016-2017,Ligue 1,Monaco,Nancy,Home,6,0,W,Kylian Mbappé,N,NA,27,1,1,2,1,0,0,0,0,0,1,0
2016-11-18,2016-2017,Ligue 1,Monaco,Lorient,Away,3,0,W,Kylian Mbappé,Y,FW,62,0,0,1,1,0,0,0,3,1,0,0
2016-11-29,2016-2017,Ligue 1,Monaco,Dijon,Away,1,1,D,Kylian Mbappé,N,NA,8,0,0,0,0,0,0,0,0,0,0,1
2016-12-03,2016-2017,Ligue 1,Monaco,Bastia,Home,5,0,W,Kylian Mbappé,Y,FW,78,1,1,1,1,1,0,3,1,1,1,0
2016-12-10,2016-2017,Ligue 1,Monaco,Bordeaux,Away,4,0,W,Kylian Mbappé,N,NA,9,0,0,1,0,0,0,0,0,1,0,0
2016-12-18,2016-2017,Ligue 1,Monaco,Lyon,Home,1,3,L,Kylian Mbappé,N,NA,14,0,0,0,0,0,0,0,1,0,3,0
2016-12-21,2016-2017,Ligue 1,Monaco,Caen,Home,2,1,W,Kylian Mbappé,Y,FW,79,0,1,3,1,1,0,1,1,0,1,0
2017-01-15,2016-2017,Ligue 1,Monaco,Marseille,Away,4,1,W,Kylian Mbappé,N,NA,1,0,0,0,0,0,0,0,0,0,0,0
2017-01-22,2016-2017,Ligue 1,Monaco,Lorient,Home,4,0,W,Kylian Mbappé,N,NA,17,0,0,0,0,0,0,0,0,0,0,0
2017-01-29,2016-2017,Ligue 1,Monaco,Paris Saint-Germain,Away,1,1,D,Kylian Mbappé,N,NA,2,0,0,1,1,0,0,0,0,0,0,0
2017-02-04,2016-2017,Ligue 1,Monaco,Nice,Home,3,0,W,Kylian Mbappé,N,NA,1,0,0,0,0,0,0,0,0,0,0,0
2017-02-07,2016-2017,Ligue 1,Monaco,Montpellier,Away,2,1,W,Kylian Mbappé,Y,FW,90,1,0,4,3,0,0,0,2,2,1,1
2017-02-11,2016-2017,Ligue 1,Monaco,Metz,Home,5,0,W,Kylian Mbappé,Y,FW,90,3,0,5,5,0,0,0,1,2,1,0
2017-02-17,2016-2017,Ligue 1,Monaco,Bastia,Away,1,1,D,Kylian Mbappé,N,NA,20,0,0,2,1,0,0,0,0,0,1,0
2017-02-25,2016-2017,Ligue 1,Monaco,Guingamp,Away,2,1,W,Kylian Mbappé,N,NA,17,0,0,2,0,0,0,1,1,1,1,0
2017-03-05,2016-2017,Ligue 1,Monaco,Nantes,Home,4,0,W,Kylian Mbappé,Y,FW,67,2,0,3,3,0,0,0,2,0,1,1
2017-03-11,2016-2017,Ligue 1,Monaco,Bordeaux,Home,2,1,W,Kylian Mbappé,Y,FW,90,1,0,3,2,0,0,0,1,1,2,0
2017-03-19,2016-2017,Ligue 1,Monaco,Caen,Away,3,0,W,Kylian Mbappé,Y,FW,87,2,0,3,2,0,0,0,2,1,0,0
2017-04-15,2016-2017,Ligue 1,Monaco,Dijon,Home,2,1,W,Kylian Mbappé,Y,FW,83,0,0,2,1,0,0,1,2,0,1,0
2017-04-23,2016-2017,Ligue 1,Monaco,Lyon,Away,2,1,W,Kylian Mbappé,Y,FW,79,1,0,3,3,0,0,0,0,1,5,0
2017-04-29,2016-2017,Ligue 1,Monaco,Toulouse,Home,3,1,W,Kylian Mbappé,Y,FW,85,1,0,4,3,0,0,0,0,3,2,1
2017-05-06,2016-2017,Ligue 1,Monaco,Nancy,Away,3,0,W,Kylian Mbappé,N,NA,9,0,1,2,1,0,0,0,0,0,0,0
2017-05-14,2016-2017,Ligue 1,Monaco,Lille,Home,4,0,W,Kylian Mbappé,Y,FW,82,0,2,0,0,0,0,0,1,4,1,2
2017-05-17,2016-2017,Ligue 1,Monaco,Saint-Étienne,Home,2,0,W,Kylian Mbappé,Y,FW,89,1,0,2,2,0,0,0,0,0,1,0
2017-05-20,2016-2017,Ligue 1,Monaco,Rennes,Away,3,2,W,Kylian Mbappé,Y,FW,90,0,0,2,1,0,0,1,1,1,0,1
2017-08-04,2017-2018,Ligue 1,Monaco,Toulouse,Home,3,2,W,Kylian Mbappé,Y,FW,74,0,0,3,2,0,0,0,1,2,2,1
2017-09-08,2017-2018,Ligue 1,Paris Saint-Germain,Metz,Away,5,1,W,Kylian Mbappé,Y,AM,90,1,1,4,2,0,0,1,1,1,0,0
2017-09-17,2017-2018,Ligue 1,Paris Saint-Germain,Lyon,Home,2,0,W,Kylian Mbappé,Y,AM,90,0,0,2,2,0,0,0,2,0,2,1
2017-09-23,2017-2018,Ligue 1,Paris Saint-Germain,Montpellier,Away,0,0,D,Kylian Mbappé,Y,FW,90,0,0,5,1,0,0,0,1,1,8,1
2017-09-30,2017-2018,Ligue 1,Paris Saint-Germain,Bordeaux,Home,6,2,W,Kylian Mbappé,Y,AM,90,1,1,2,2,0,0,0,0,2,0,0
2017-10-14,2017-2018,Ligue 1,Paris Saint-Germain,Dijon,Away,2,1,W,Kylian Mbappé,Y,FW,90,0,1,5,3,0,0,0,2,1,3,0
2017-10-22,2017-2018,Ligue 1,Paris Saint-Germain,Marseille,Away,2,2,D,Kylian Mbappé,Y,FW,79,0,0,0,0,1,0,3,0,1,0,0
2017-10-27,2017-2018,Ligue 1,Paris Saint-Germain,Nice,Home,3,0,W,Kylian Mbappé,Y,FW,79,0,0,3,0,0,0,0,0,0,2,0
2017-11-04,2017-2018,Ligue 1,Paris Saint-Germain,Angers,Away,5,0,W,Kylian Mbappé,Y,FW,90,2,1,5,3,1,0,1,1,0,5,2
2017-11-26,2017-2018,Ligue 1,Paris Saint-Germain,Monaco,Away,2,1,W,Kylian Mbappé,Y,FW,90,0,0,4,1,0,0,0,3,3,1,0
2017-11-29,2017-2018,Ligue 1,Paris Saint-Germain,Troyes,Home,2,0,W,Kylian Mbappé,N,NA,21,0,0,0,0,0,0,0,0,1,0,0
2017-12-02,2017-2018,Ligue 1,Paris Saint-Germain,Strasbourg,Away,1,2,L,Kylian Mbappé,Y,FW,90,1,0,6,1,0,0,0,4,0,3,0
2017-12-09,2017-2018,Ligue 1,Paris Saint-Germain,Lille,Home,3,1,W,Kylian Mbappé,Y,FW,90,1,1,4,2,0,0,0,0,2,3,1
2017-12-16,2017-2018,Ligue 1,Paris Saint-Germain,Rennes,Away,4,1,W,Kylian Mbappé,Y,FW,90,1,2,4,3,0,0,0,0,1,3,0
2017-12-20,2017-2018,Ligue 1,Paris Saint-Germain,Caen,Home,3,1,W,Kylian Mbappé,Y,FW,90,1,1,3,1,0,0,0,2,1,1,1
2018-01-14,2017-2018,Ligue 1,Paris Saint-Germain,Nantes,Away,1,0,W,Kylian Mbappé,Y,FW,90,0,0,1,1,0,0,0,2,0,0,0
2018-01-17,2017-2018,Ligue 1,Paris Saint-Germain,Dijon,Home,8,0,W,Kylian Mbappé,N,NA,23,1,0,1,1,0,0,0,1,0,0,0
2018-01-21,2017-2018,Ligue 1,Paris Saint-Germain,Lyon,Away,1,2,L,Kylian Mbappé,Y,FW,35,0,0,0,0,0,0,0,1,0,0,1
2018-02-10,2017-2018,Ligue 1,Paris Saint-Germain,Toulouse,Away,1,0,W,Kylian Mbappé,Y,FW,90,0,0,1,1,0,0,0,1,3,0,0
2018-02-25,2017-2018,Ligue 1,Paris Saint-Germain,Marseille,Home,3,0,W,Kylian Mbappé,Y,FW,60,1,0,1,1,0,0,0,2,1,1,0
2018-03-10,2017-2018,Ligue 1,Paris Saint-Germain,Metz,Home,5,0,W,Kylian Mbappé,Y,FW,90,1,0,6,3,0,0,1,3,4,0,0
2018-03-14,2017-2018,Ligue 1,Paris Saint-Germain,Angers,Home,2,1,W,Kylian Mbappé,Y,FW,90,2,0,6,3,0,0,0,4,1,1,0
2018-03-18,2017-2018,Ligue 1,Paris Saint-Germain,Nice,Away,2,1,W,Kylian Mbappé,Y,FW,90,0,0,5,1,0,0,0,1,2,0,0
2018-04-06,2017-2018,Ligue 1,Paris Saint-Germain,Saint-Étienne,Away,1,1,D,Kylian Mbappé,Y,FW,90,0,0,3,1,0,0,1,1,0,1,1
2018-04-22,2017-2018,Ligue 1,Paris Saint-Germain,Bordeaux,Away,1,0,W,Kylian Mbappé,Y,AM,80,0,0,1,0,0,0,1,1,0,2,0
2018-04-29,2017-2018,Ligue 1,Paris Saint-Germain,Guingamp,Home,2,2,D,Kylian Mbappé,Y,FW,90,0,0,1,0,0,0,0,2,2,3,0
2018-05-04,2017-2018,Ligue 1,Paris Saint-Germain,Amiens,Away,2,2,D,Kylian Mbappé,N,NA,7,0,0,1,0,0,0,0,0,0,2,0
2018-05-12,2017-2018,Ligue 1,Paris Saint-Germain,Rennes,Home,0,2,L,Kylian Mbappé,Y,FW,90,0,0,3,0,0,0,1,1,0,0,0
2018-08-18,2018-2019,Ligue 1,Paris Saint-Germain,Guingamp,Away,3,1,W,Kylian Mbappé,N,NA,45,2,0,3,2,0,0,0,1,0,2,0
2018-08-25,2018-2019,Ligue 1,Paris Saint-Germain,Angers,Home,3,1,W,Kylian Mbappé,Y,FW,90,1,1,4,3,0,0,1,0,2,2,0
2018-09-01,2018-2019,Ligue 1,Paris Saint-Germain,Nîmes,Away,4,2,W,Kylian Mbappé,Y,AM,89,1,1,4,2,1,0,1,2,2,1,1
2018-09-29,2018-2019,Ligue 1,Paris Saint-Germain,Nice,Away,3,0,W,Kylian Mbappé,Y,FW,90,0,1,5,1,1,0,1,2,4,1,0
2018-10-07,2018-2019,Ligue 1,Paris Saint-Germain,Lyon,Home,5,0,W,Kylian Mbappé,Y,AM,90,4,0,9,6,0,0,2,3,2,0,1
2018-10-20,2018-2019,Ligue 1,Paris Saint-Germain,Amiens,Home,5,0,W,Kylian Mbappé,Y,FW,90,1,0,2,1,0,0,0,2,1,1,0
2018-10-28,2018-2019,Ligue 1,Paris Saint-Germain,Marseille,Away,2,0,W,Kylian Mbappé,N,NA,29,1,0,3,2,0,0,2,2,0,1,0
2018-11-02,2018-2019,Ligue 1,Paris Saint-Germain,Lille,Home,2,1,W,Kylian Mbappé,Y,FW,90,1,1,7,2,0,0,0,0,0,0,0
2018-11-11,2018-2019,Ligue 1,Paris Saint-Germain,Monaco,Away,4,0,W,Kylian Mbappé,Y,AM,90,0,0,2,1,0,0,2,4,2,0,1
2018-12-02,2018-2019,Ligue 1,Paris Saint-Germain,Bordeaux,Away,2,2,D,Kylian Mbappé,Y,FW,90,1,0,1,1,0,0,2,1,0,0,0
2018-12-05,2018-2019,Ligue 1,Paris Saint-Germain,Strasbourg,Away,1,1,D,Kylian Mbappé,N,NA,45,0,0,3,0,0,0,0,3,1,1,0
2018-12-22,2018-2019,Ligue 1,Paris Saint-Germain,Nantes,Home,1,0,W,Kylian Mbappé,Y,FW,90,1,0,4,2,0,0,0,2,0,1,1
2019-01-12,2018-2019,Ligue 1,Paris Saint-Germain,Amiens,Away,3,0,W,Kylian Mbappé,Y,FW,79,1,0,3,2,0,0,1,2,2,1,0
2019-01-19,2018-2019,Ligue 1,Paris Saint-Germain,Guingamp,Home,9,0,W,Kylian Mbappé,Y,FW,90,3,1,4,4,0,0,0,1,0,0,0
2019-01-27,2018-2019,Ligue 1,Paris Saint-Germain,Rennes,Home,4,1,W,Kylian Mbappé,Y,FW,90,1,1,6,3,0,0,0,2,0,0,0
2019-02-03,2018-2019,Ligue 1,Paris Saint-Germain,Lyon,Away,1,2,L,Kylian Mbappé,Y,FW,90,0,0,5,5,0,0,1,2,0,4,0
2019-02-09,2018-2019,Ligue 1,Paris Saint-Germain,Bordeaux,Home,1,0,W,Kylian Mbappé,N,NA,45,0,0,1,0,0,0,0,1,0,0,1
2019-02-17,2018-2019,Ligue 1,Paris Saint-Germain,Saint-Étienne,Away,1,0,W,Kylian Mbappé,Y,FW,90,1,0,3,2,1,0,1,1,1,1,0
2019-02-20,2018-2019,Ligue 1,Paris Saint-Germain,Montpellier,Home,5,1,W,Kylian Mbappé,Y,FW,90,1,0,6,3,0,0,0,2,1,0,0
2019-02-23,2018-2019,Ligue 1,Paris Saint-Germain,Nîmes,Home,3,0,W,Kylian Mbappé,Y,FW,90,2,0,9,5,1,0,1,0,3,1,0
