Date,Season,Competition,Team,Opponent,Venue,TeamGoals,OppGoals,Result,Player,Start,Position,Minutes,Goals,Assists,Shots,SoT,Yellow,Red,Fouls,Offsides,Crosses,TacklesWon,Interceptions
2015-08-29,2015-2016,La Liga,Sporting Gijón,Real Sociedad,Away,0,0,D,Omar Mascarell,N,NA,23,0,0,0,0,0,0,1,0,0,3,0
2015-09-12,2015-2016,La Liga,Sporting Gijón,Valencia,Home,0,1,L,Omar Mascarell,Y,DM,60,0,0,0,0,1,0,2,0,0,2,0
2015-09-20,2015-2016,La Liga,Sporting Gijón,Deportivo La Coruña,Sun,3,2,W,Omar Mascarell,N,NA,8,0,0,0,0,0,0,0,0,0,0,1
2015-09-23,2015-2016,La Liga,Sporting Gijón,Rayo Vallecano,Away,1,2,L,Omar Mascarell,Y,CM,90,0,0,0,1,0,0,4,1,0,4,5
2015-10-03,2015-2016,La Liga,Sporting Gijón,Espanyol,Away,2,1,W,Omar Mascarell,N,NA,17,0,1,0,0,0,0,1,1,0,1,0
2015-10-19,2015-2016,La Liga,Sporting Gijón,Granada,Home,3,3,D,Omar Mascarell,N,NA,16,0,0,0,0,0,0,0,0,1,0,0
2015-10-26,2015-2016,La Liga,Sporting Gijón,Athletic Club,Away,0,3,L,Omar Mascarell,Y,CM,45,0,0,0,0,1,0,2,0,0,1,0
2015-11-01,2015-2016,La Liga,Sporting Gijón,Málaga,Home,1,0,W,Omar Mascarell,Y,DM,90,0,0,0,0,0,0,1,0,3,1,3
2015-11-08,2015-2016,La Liga,Sporting Gijón,Atlético Madrid,Away,0,1,L,Omar Mascarell,Y,DM,90,0,0,0,0,0,0,2,0,1,3,5
2015-11-22,2015-2016,La Liga,Sporting Gijón,Levante,Home,0,3,L,Omar Mascarell,Y,DM,90,0,0,0,0,0,0,0,1,1,2,1
2015-11-28,2015-2016,La Liga,Sporting Gijón,Celta Vigo,Away,1,2,L,Omar Mascarell,Y,DM,90,0,0,0,0,0,0,1,0,3,1,2
2015-12-06,2015-2016,La Liga,Sporting Gijón,Las Palmas,Home,3,1,W,Omar Mascarell,Y,DM,90,0,0,0,0,0,0,3,0,0,2,4
2015-12-12,2015-2016,La Liga,Sporting Gijón,Sevilla,Away,0,2,L,Omar Mascarell,Y,DM,90,0,0,1,0,0,0,0,1,0,1,4
