Date,Season,Competition,Team,Opponent,Venue,TeamGoals,OppGoals,Result,Player,Start,Position,Minutes,Goals,Assists,Shots,SoT,Yellow,Red,Fouls,Offsides,Crosses,TacklesWon,Interceptions
2017-08-19,2017-2018,La Liga,Girona,Atlético Madrid,Home,2,2,D,Pablo Maffeo,Y,RB,90,0,0,0,0,0,0,0,2,9,3,1
2017-08-26,2017-2018,La Liga,Girona,Málaga,Home,1,0,W,Pablo Maffeo,Y,DM,90,0,0,0,1,0,0,0,1,2,0,1
2017-09-10,2017-2018,La Liga,Girona,Athletic Club,Away,0,2,L,Pablo Maffeo,Y,DM,66,0,0,0,0,0,0,0,0,2,2,1
2017-09-20,2017-2018,La Liga,Girona,Leganés,Away,0,0,D,Pablo Maffeo,Y,DM,90,0,0,0,0,0,0,1,2,3,2,2
2017-09-23,2017-2018,La Liga,Girona,Barcelona,Home,0,3,L,Pablo Maffeo,Y,DM,77,0,0,0,0,1,0,3,0,0,0,0
2017-09-29,2017-2018,La Liga,Girona,Celta Vigo,Away,3,3,D,Pablo Maffeo,Y,DM,90,0,0,0,2,1,0,0,0,1,3,1
2017-10-15,2017-2018,La Liga,Girona,Villarreal,Home,1,2,L,Pablo Maffeo,Y,DM,90,0,0,0,5,0,0,2,2,7,3,1
2017-10-23,2017-2018,La Liga,Girona,Dep La Coruña,Away,2,1,W,Pablo Maffeo,Y,RB,90,0,0,0,2,1,0,0,1,2,2,2
2017-10-29,2017-2018,La Liga,Girona,Real Madrid,Home,2,1,W,Pablo Maffeo,Y,RB,90,0,1,0,1,0,0,1,2,3,4,7
2017-11-05,2017-2018,La Liga,Girona,Levante,Away,2,1,W,Pablo Maffeo,Y,DM,90,0,0,0,0,0,1,3,0,3,3,3
2017-11-17,2017-2018,La Liga,Girona,Real Sociedad,Home,1,1,D,Pablo Maffeo,Y,DM,90,0,0,1,1,1,0,4,2,6,0,2
2017-11-25,2017-2018,La Liga,Girona,Real Betis,Away,2,2,D,Pablo Maffeo,Y,DM,90,0,0,3,1,0,0,0,0,7,2,0
2017-12-04,2017-2018,La Liga,Girona,Alavés,Home,2,3,L,Pablo Maffeo,Y,DM,90,0,0,0,0,0,0,0,0,7,2,3
2017-12-11,2017-2018,La Liga,Girona,Espanyol,Away,1,0,W,Pablo Maffeo,Y,DM,90,0,0,0,0,0,0,1,0,1,0,3
