Date,Season,Competition,Team,Opponent,Venue,TeamGoals,OppGoals,Result,Player,Start,Position,Minutes,Goals,Assists,Shots,SoT,Yellow,Red,Fouls,Offsides,Crosses,TacklesWon,Interceptions
2022-08-14,2022-2023,La Liga,Almería,Real Madrid,Home,1,2,L,Samu Costa,Y,CM,90,0,0,1,0,0,0,0,0,0,1,1
2022-08-22,2022-2023,La Liga,Almería,Elche,Away,1,1,D,Samu Costa,Y,DM,90,0,0,1,0,0,0,3,0,0,1,1
2022-08-27,2022-2023,La Liga,Almería,Sevilla,Home,2,1,W,Samu Costa,Y,DM,90,0,0,1,1,1,0,4,1,1,0,0
2022-09-05,2022-2023,La Liga,Almería,Valladolid,Away,0,1,L,Samu Costa,Y,DM,90,0,0,1,0,1,0,3,1,1,1,1
2022-09-12,2022-2023,La Liga,Almería,Osasuna,Home,0,1,L,Samu Costa,Y,CM,90,0,0,0,0,0,0,1,0,0,4,2
2022-09-17,2022-2023,La Liga,Almería,Mallorca,Away,0,1,L,Samu Costa,Y,CM,90,0,0,0,0,0,0,1,0,0,2,2
2022-09-30,2022-2023,La Liga,Almería,Athletic Club,Away,0,4,L,Samu Costa,Y,CM,78,0,0,1,1,0,0,3,0,0,0,5
2022-10-08,2022-2023,La Liga,Almería,Rayo Vallecano,Home,3,1,W,Samu Costa,N,CM,25,0,0,0,0,1,0,4,0,0,1,0
2022-10-20,2022-2023,La Liga,Almería,Girona,Home,3,2,W,Samu Costa,N,DM,27,0,0,0,0,0,0,0,0,0,0,0
2022-11-05,2022-2023,La Liga,Almería,Barcelona,Away,0,2,L,Samu Costa,Y,CM,90,0,0,0,0,0,0,3,1,0,0,1
2022-11-09,2022-2023,La Liga,Almería,Getafe,Home,1,0,W,Samu Costa,N,DM,8,0,0,0,0,0,0,0,0,0,0,0
2022-12-30,2022-2023,La Liga,Almería,Cádiz,Away,1,1,D,Samu Costa,N,DM,15,0,0,0,0,0,0,0,0,1,0,0
2023-01-15,2022-2023,La Liga,Almería,Atlético Madrid,Home,1,1,D,Samu Costa,Y,CM,90,0,0,0,0,0,0,0,0,1,0,6
2023-01-23,2022-2023,La Liga,Almería,Valencia,Away,2,2,D,Samu Costa,Y,CM,90,0,0,0,0,0,0,1,0,0,4,1
2023-01-27,2022-2023,La Liga,Almería,Espanyol,Home,3,1,W,Samu Costa,N,DM,4,0,0,0,0,0,0,1,0,0,0,0
2023-02-06,2022-2023,La Liga,Almería,Rayo Vallecano,Away,0,2,L,Samu Costa,Y,CM,90,0,0,1,0,0,0,3,0,0,5,0
2023-02-11,2022-2023,La Liga,Almería,Real Betis,Home,2,3,L,Samu Costa,Y,DM,90,1,0,3,3,0,0,4,1,0,4,2
2023-02-17,2022-2023,La Liga,Almería,Girona,Away,2,6,L,Samu Costa,Y,CM,45,0,0,0,0,0,0,1,0,0,0,1
2023-02-26,2022-2023,La Liga,Almería,Barcelona,Home,1,0,W,Samu Costa,N,DM,8,0,0,1,1,0,0,1,1,0,0,1
2023-03-04,2022-2023,La Liga,Almería,Villarreal,Home,0,2,L,Samu Costa,N,DM,45,0,0,1,0,0,0,0,0,1,0,0
2023-04-02,2022-2023,La Liga,Almería,Celta Vigo,Away,2,2,D,Samu Costa,Y,CM,89,0,0,1,0,1,0,3,0,0,1,5
2023-04-09,2022-2023,La Liga,Almería,Valencia,Home,2,1,W,Samu Costa,Y,DM,90,0,1,0,0,0,0,3,0,0,3,1
2023-04-16,2022-2023,La Liga,Almería,Atlético Madrid,Away,1,2,L,Samu Costa,Y,DM,90,0,0,1,0,0,0,2,0,1,1,0
2023-04-22,2022-2023,La Liga,Almería,Athletic Club,Home,1,2,L,Samu Costa,Y,DM,90,0,0,1,0,0,0,3,0,2,2,0
2023-04-26,2022-2023,La Liga,Almería,Getafe,Away,2,1,W,Samu Costa,N,CM,4,0,0,1,0,0,0,0,0,0,0,0
2023-04-29,2022-2023,La Liga,Almería,Real Madrid,Away,2,4,L,Samu Costa,Y,CM,74,0,0,1,0,0,0,3,0,0,2,0
2023-05-02,2022-2023,La Liga,Almería,Elche,Home,2,1,W,Samu Costa,N,CM,7,0,0,0,0,0,0,0,0,0,0,0
2023-05-13,2022-2023,La Liga,Almería,Osasuna,Away,1,3,L,Samu Costa,N,CM,18,0,0,0,0,0,0,0,0,0,0,0
2023-05-20,2022-2023,La Liga,Almería,Mallorca,Home,3,0,W,Samu Costa,Y,CM,73,0,0,1,0,0,0,0,0,0,0,1
2023-05-23,2022-2023,La Liga,Almería,Real Sociedad,Away,0,1,L,Samu Costa,Y,DM,45,0,0,0,0,0,0,3,0,0,0,0
2023-05-28,2022-2023,La Liga,Almería,Valladolid,Home,0,0,D,Samu Costa,Y,CM,90,0,0,2,0,0,0,0,0,0,2,3
2023-06-04,2022-2023,La Liga,Almería,Espanyol,Away,3,3,D,Samu Costa,Y,CM,74,0,1,1,1,1,0,1,0,0,0,1
