Date,Season,Competition,Team,Opponent,Venue,TeamGoals,OppGoals,Result,Player,Start,Position,Minutes,Goals,Assists,Shots,SoT,Yellow,Red,Fouls,Offsides,Crosses,TacklesWon,Interceptions
2013-08-17,2013-2014,La Liga,Málaga,Valencia,Away,0,1,Loss,Sergi Darder,Yes,NA,79,0,0,NA,NA,1,0,NA,NA,NA,NA,NA
2013-08-25,2013-2014,La Liga,Málaga,Barcelona,Home,0,1,Loss,Sergi Darder,Yes,NA,90,0,0,NA,NA,1,0,NA,NA,NA,NA,NA
2013-09-01,2013-2014,La Liga,Málaga,Sevilla,Away,2,2,Draw,Sergi Darder,Yes,NA,90,0,0,NA,NA,1,0,NA,NA,NA,NA,NA
2013-09-15,2013-2014,La Liga,Málaga,Rayo Vallecano,Home,5,0,Win,Sergi Darder,Yes,NA,90,0,0,NA,NA,0,0,NA,NA,NA,NA,NA
2013-09-21,2013-2014,La Liga,Málaga,Real Sociedad,Away,0,0,Draw,Sergi Darder,Yes,NA,90,0,0,NA,NA,0,0,NA,NA,NA,NA,NA
2013-09-24,2013-2014,La Liga,Málaga,Almería,Home,2,0,Win,Sergi Darder,Yes,NA,90,0,0,NA,NA,0,0,NA,NA,NA,NA,NA
2013-10-04,2013-2014,La Liga,Málaga,Osasuna,Home,0,1,Loss,Sergi Darder,Yes,NA,84,0,0,NA,NA,0,0,NA,NA,NA,NA,NA
2013-10-19,2013-2014,La Liga,Málaga,Real Madrid,Away,0,2,Loss,Sergi Darder,No,NA,14,0,0,NA,NA,0,0,NA,NA,NA,NA,NA
2013-10-29,2013-2014,La Liga,Málaga,Espanyol,Away,0,0,Draw,Sergi Darder,Yes,NA,88,0,0,NA,NA,0,0,NA,NA,NA,NA,NA
2013-11-03,2013-2014,La Liga,Málaga,Real Betis,Home,3,2,Win,Sergi Darder,Yes,NA,90,0,0,NA,NA,0,0,NA,NA,NA,NA,NA
2013-11-08,2013-2014,La Liga,Málaga,Granada,Away,1,3,Loss,Sergi Darder,Yes,NA,90,0,0,NA,NA,0,0,NA,NA,NA,NA,NA
2013-11-25,2013-2014,La Liga,Málaga,Athletic Club,Home,1,2,Loss,Sergi Darder,Yes,NA,90,0,0,NA,NA,0,0,NA,NA,NA,NA,NA
2013-11-29,2013-2014,La Liga,Málaga,Villarreal,Away,1,1,Draw,Sergi Darder,Yes,NA,74,0,0,NA,NA,0,0,NA,NA,NA,NA,NA
2013-12-14,2013-2014,La Liga,Málaga,Getafe,Home,1,0,Win,Sergi Darder,No,NA,5,0,0,NA,NA,0,0,NA,NA,NA,NA,NA
2014-01-04,2013-2014,La Liga,Málaga,Atlético Madrid,Home,0,1,Loss,Sergi Darder,Yes,NA,90,0,0,NA,NA,1,0,NA,NA,NA,NA,NA
2014-01-26,2013-2014,La Liga,Málaga,Barcelona,Away,0,3,Loss,Sergi Darder,No,NA,10,0,0,NA,NA,0,0,NA,NA,NA,NA,NA
