Date,Season,Competition,Team,Opponent,Venue,TeamGoals,OppGoals,Result,Player,Start,Position,Minutes,Goals,Assists,Shots,SoT,Yellow,Red,Fouls,Offsides,Crosses,TacklesWon,Interceptions
2017-08-19,2017-2018,Bundesliga,Stuttgart,Hertha BSC,Away,0,2,L,Takuma Asano,Y,RM,90,0,0,1,0,0,0,0,0,1,2,1
2017-08-26,2017-2018,Bundesliga,Stuttgart,Mainz 05,Home,1,0,W,Takuma Asano,N,NA,28,0,0,2,0,0,0,0,0,0,0,0
2017-09-10,2017-2018,Bundesliga,Stuttgart,Schalke 04,Away,1,3,L,Takuma Asano,N,NA,19,0,0,1,0,0,0,0,0,0,0,0
2017-09-16,2017-2018,Bundesliga,Stuttgart,Wolfsburg,Home,1,0,W,Takuma Asano,N,NA,19,0,0,0,0,0,0,0,0,0,0,0
2017-09-19,2017-2018,Bundesliga,Stuttgart,Gladbach,Away,0,2,L,Takuma Asano,Y,AM,61,0,0,0,0,0,0,0,0,3,1,1
2017-09-23,2017-2018,Bundesliga,Stuttgart,Augsburg,Home,0,0,D,Takuma Asano,N,NA,7,0,0,1,0,0,0,0,0,0,0,0
2017-10-21,2017-2018,Bundesliga,Stuttgart,RB Leipzig,Away,0,1,L,Takuma Asano,Y,AM,64,0,0,3,1,0,0,1,1,3,2,1
2017-10-29,2017-2018,Bundesliga,Stuttgart,Freiburg,Home,3,0,W,Takuma Asano,Y,AM,90,0,0,0,0,0,0,2,2,2,1,1
2017-11-04,2017-2018,Bundesliga,Stuttgart,Hamburger SV,Away,1,3,L,Takuma Asano,Y,AM,90,0,0,1,0,0,0,1,3,0,1,0
2017-11-17,2017-2018,Bundesliga,Stuttgart,Dortmund,Home,2,1,W,Takuma Asano,N,NA,46,0,0,1,0,0,0,0,1,3,1,0
2017-11-24,2017-2018,Bundesliga,Stuttgart,Hannover 96,Away,1,1,D,Takuma Asano,Y,FW,72,1,0,2,2,1,0,3,1,1,0,1
2017-12-02,2017-2018,Bundesliga,Stuttgart,Werder Bremen,Away,0,1,L,Takuma Asano,Y,FW,56,0,0,2,1,0,0,2,0,1,0,0
2017-12-08,2017-2018,Bundesliga,Stuttgart,Leverkusen,Home,0,2,L,Takuma Asano,N,NA,6,0,0,0,0,0,0,0,0,1,0,0
2017-12-13,2017-2018,Bundesliga,Stuttgart,Hoffenheim,Away,0,1,L,Takuma Asano,N,NA,65,0,0,2,0,0,0,1,0,3,0,1
2017-12-16,2017-2018,Bundesliga,Stuttgart,Bayern Munich,Home,0,1,L,Takuma Asano,N,NA,10,0,0,1,0,0,0,0,0,0,0,0
2018-08-25,2018-2019,Bundesliga,Hannover 96,Werder Bremen,Away,1,1,D,Takuma Asano,Y,FW,74,0,0,0,0,0,0,0,0,0,0,0
2018-08-31,2018-2019,Bundesliga,Hannover 96,Dortmund,Home,0,0,D,Takuma Asano,Y,FW,45,0,0,0,0,0,0,1,0,2,1,1
2018-09-15,2018-2019,Bundesliga,Hannover 96,RB Leipzig,Away,2,3,L,Takuma Asano,Y,FW,64,0,0,6,1,0,0,1,1,1,1,0
2018-09-25,2018-2019,Bundesliga,Hannover 96,Hoffenheim,Home,1,3,L,Takuma Asano,N,NA,26,0,0,2,1,0,0,0,0,0,1,0
2018-10-06,2018-2019,Bundesliga,Hannover 96,Stuttgart,Home,3,1,W,Takuma Asano,Y,FW,13,0,0,0,0,0,0,0,0,0,1,0
2018-12-09,2018-2019,Bundesliga,Hannover 96,Mainz 05,Away,1,1,D,Takuma Asano,Y,AM,74,0,0,2,1,0,0,0,4,1,0,1
2018-12-15,2018-2019,Bundesliga,Hannover 96,Bayern Munich,Home,0,4,L,Takuma Asano,Y,CM,61,0,0,0,0,0,0,0,1,0,0,0
2019-01-26,2018-2019,Bundesliga,Hannover 96,Dortmund,Away,1,5,L,Takuma Asano,N,NA,48,0,0,1,0,0,0,0,2,0,0,0
2019-02-01,2018-2019,Bundesliga,Hannover 96,RB Leipzig,Home,0,3,L,Takuma Asano,Y,AM,69,0,0,1,0,0,0,0,1,0,0,0
2019-02-16,2018-2019,Bundesliga,Hannover 96,Hoffenheim,Away,0,3,L,Takuma Asano,N,NA,45,0,0,0,0,0,0,0,2,0,1,0
2019-02-24,2018-2019,Bundesliga,Hannover 96,Eintracht Frankfurt,Home,0,3,L,Takuma Asano,Y,AM,74,0,0,0,0,0,0,1,1,0,2,1
2019-03-03,2018-2019,Bundesliga,Hannover 96,Stuttgart,Away,1,5,L,Takuma Asano,Y,AM,90,0,0,0,0,0,0,0,2,1,1,1
2019-03-31,2018-2019,Bundesliga,Hannover 96,Schalke 04,Home,0,1,L,Takuma Asano,N,NA,16,0,0,1,0,0,0,0,0,1,2,0
2021-08-14,2021-2022,Bundesliga,Bochum,Wolfsburg,Away,0,1,L,Takuma Asano,Y,FW,45,0,0,0,0,0,0,0,1,0,0,1
2021-08-21,2021-2022,Bundesliga,Bochum,Mainz 05,Home,2,0,W,Takuma Asano,N,NA,10,0,0,0,0,1,0,0,1,0,0,0
2021-09-26,2021-2022,Bundesliga,Bochum,Stuttgart,Home,0,0,D,Takuma Asano,N,NA,20,0,0,0,0,0,0,0,0,0,0,1
2021-10-02,2021-2022,Bundesliga,Bochum,RB Leipzig,Away,0,3,L,Takuma Asano,Y,FW,77,0,0,0,0,0,0,3,0,3,0,0
2021-10-16,2021-2022,Bundesliga,Bochum,Greuther Fürth,Away,1,0,W,Takuma Asano,N,NA,28,0,0,2,0,0,0,0,1,0,1,0
2021-10-24,2021-2022,Bundesliga,Bochum,Eintracht Frankfurt,Home,2,0,W,Takuma Asano,Y,FW,80,0,1,2,1,0,0,1,2,0,0,1
2021-10-31,2021-2022,Bundesliga,Bochum,Gladbach,Away,1,2,L,Takuma Asano,Y,FW,76,0,0,2,1,0,0,0,0,2,1,1
2021-11-06,2021-2022,Bundesliga,Bochum,Hoffenheim,Home,2,0,W,Takuma Asano,Y,FW,90,0,0,1,0,0,0,1,4,2,3,1
2021-11-20,2021-2022,Bundesliga,Bochum,Leverkusen,Away,0,1,L,Takuma Asano,Y,FW,90,0,0,4,2,0,0,1,2,0,3,0
2021-11-27,2021-2022,Bundesliga,Bochum,Freiburg,Home,2,1,W,Takuma Asano,Y,FW,84,0,0,2,1,0,0,0,2,2,3,0
2021-12-04,2021-2022,Bundesliga,Bochum,Augsburg,Away,3,2,W,Takuma Asano,Y,FW,60,0,0,0,0,0,0,1,2,1,4,1
2022-01-09,2021-2022,Bundesliga,Bochum,Wolfsburg,Home,1,0,W,Takuma Asano,Y,FW,77,0,0,1,0,0,0,0,1,0,1,2
2022-01-15,2021-2022,Bundesliga,Bochum,Mainz 05,Away,0,1,L,Takuma Asano,Y,FW,61,0,0,0,0,0,0,0,0,0,0,0
2022-01-22,2021-2022,Bundesliga,Bochum,Köln,Home,2,2,D,Takuma Asano,N,NA,26,1,0,1,1,0,0,0,0,0,0,0
2022-02-04,2021-2022,Bundesliga,Bochum,Hertha BSC,Away,1,1,D,Takuma Asano,Y,AM,44,0,0,0,0,0,0,0,0,1,0,0
2022-02-12,2021-2022,Bundesliga,Bochum,Bayern Munich,Home,4,2,W,Takuma Asano,N,NA,11,0,0,0,0,0,0,1,0,0,0,0
2022-02-19,2021-2022,Bundesliga,Bochum,Stuttgart,Away,1,1,D,Takuma Asano,N,NA,38,0,0,2,1,0,0,0,2,0,1,0
2022-02-27,2021-2022,Bundesliga,Bochum,RB Leipzig,Home,0,1,L,Takuma Asano,Y,FW,71,0,0,1,0,0,0,3,0,1,2,0
2022-03-05,2021-2022,Bundesliga,Bochum,Greuther Fürth,Home,2,1,W,Takuma Asano,N,NA,26,0,0,1,1,0,0,1,2,0,0,0
2022-03-13,2021-2022,Bundesliga,Bochum,Eintracht Frankfurt,Away,1,2,L,Takuma Asano,Y,RW,59,0,0,1,1,0,0,1,2,0,1,1
