Date,Season,Competition,Team,Opponent,Venue,TeamGoals,OppGoals,Result,Player,Start,Position,Minutes,Goals,Assists,Shots,SoT,Yellow,Red,Fouls,Offsides,Crosses,TacklesWon,Interceptions
2011-08-28,2011-12,La Liga,Atlético Madrid,Osasuna,Home,0,0,D,Thibaut Courtois,Y,GK,90,0,0,NA,NA,0,0,NA,NA,NA,NA,NA
2011-09-10,2011-12,La Liga,Atlético Madrid,Valencia,Away,0,1,L,Thibaut Courtois,Y,GK,90,0,0,NA,NA,0,0,NA,NA,NA,NA,NA
2011-09-18,2011-12,La Liga,Atlético Madrid,Racing Santander,Home,4,0,W,Thibaut Courtois,Y,GK,90,0,0,NA,NA,0,0,NA,NA,NA,NA,NA
2011-09-21,2011-12,La Liga,Atlético Madrid,Sporting Gijón,Home,4,0,W,Thibaut Courtois,Y,GK,90,0,0,NA,NA,0,0,NA,NA,NA,NA,NA
2011-09-24,2011-12,La Liga,Atlético Madrid,Barcelona,Away,0,5,L,Thibaut Courtois,Y,GK,90,0,0,NA,NA,0,0,NA,NA,NA,NA,NA
2011-10-02,2011-12,La Liga,Atlético Madrid,Sevilla,Home,0,0,D,Thibaut Courtois,Y,GK,90,0,0,NA,NA,0,0,NA,NA,NA,NA,NA
2011-10-15,2011-12,La Liga,Atlético Madrid,Granada,Away,0,0,D,Thibaut Courtois,Y,GK,90,0,0,NA,NA,0,0,NA,NA,NA,NA,NA
2011-10-23,2011-12,La Liga,Atlético Madrid,Mallorca,Home,1,1,D,Thibaut Courtois,Y,GK,90,0,0,NA,NA,0,0,NA,NA,NA,NA,NA
2011-10-27,2011-12,La Liga,Atlético Madrid,Athletic Club,Away,0,3,L,Thibaut Courtois,Y,GK,90,0,0,NA,NA,0,0,NA,NA,NA,NA,NA
2011-10-30,2011-12,La Liga,Atlético Madrid,Zaragoza,Home,3,1,W,Thibaut Courtois,Y,GK,90,0,0,NA,NA,0,0,NA,NA,NA,NA,NA
2011-11-06,2011-12,La Liga,Atlético Madrid,Getafe,Away,2,3,L,Thibaut Courtois,Y,GK,90,0,0,NA,NA,0,0,NA,NA,NA,NA,NA
2011-11-20,2011-12,La Liga,Atlético Madrid,Levante,Home,3,2,W,Thibaut Courtois,Y,GK,90,0,0,NA,NA,0,0,NA,NA,NA,NA,NA
2011-11-26,2011-12,La Liga,Atlético Madrid,Real Madrid,Away,1,4,L,Thibaut Courtois,Y,GK,20,0,0,NA,NA,0,0,NA,NA,NA,NA,NA
2012-03-11,2011-12,La Liga,Atlético Madrid,Granada,Home,2,0,W,Thibaut Courtois,Y,GK,90,,,,,,,,,,,
2012-03-18,2011-12,La Liga,Atlético Madrid,Mallorca,Away,1,2,L,Thibaut Courtois,Y,GK,90,,,,,,,,,,,
2012-03-21,2011-12,La Liga,Atlético Madrid,Athletic Club,Home,2,1,W,Thibaut Courtois,Y,GK,90,,,,,,,,,,,
2012-03-25,2011-12,La Liga,Atlético Madrid,Zaragoza,Away,0,1,L,Thibaut Courtois,Y,GK,90,,,,,,,,,,,
2012-04-01,2011-12,La Liga,Atlético Madrid,Getafe,Home,3,0,W,Thibaut Courtois,Y,GK,90,,,,,,,,,,,
2012-04-08,2011-12,La Liga,Atlético Madrid,Levante,Away,0,2,L,Thibaut Courtois,Y,GK,90,,,,,,,,,,,
2012-04-11,2011-12,La Liga,Atlético Madrid,Real Madrid,Home,1,4,L,Thibaut Courtois,Y,GK,90,,,,,,,,,,,
2012-04-15,2011-12,La Liga,Atlético Madrid,Rayo Vallecano,Away,1,0,W,Thibaut Courtois,Y,GK,90,,,,,,,,,,,
2012-04-22,2011-12,La Liga,Atlético Madrid,Espanyol,Home,3,1,W,Thibaut Courtois,Y,GK,90,,,,,,,,,,,
2012-04-29,2011-12,La Liga,Atlético Madrid,Real Betis,Away,2,2,D,Thibaut Courtois,Y,GK,90,,,,,,,,,,,
2012-05-02,2011-12,La Liga,Atlético Madrid,Real Sociedad,Home,1,1,D,Thibaut Courtois,Y,GK,90,,,,,,,,,,,
2012-05-05,2011-12,La Liga,Atlético Madrid,Málaga,Home,2,1,W,Thibaut Courtois,Y,GK,90,,,,,,,,,,,
2012-05-13,2011-12,La Liga,Atlético Madrid,Villarreal,Away,1,0,W,Thibaut Courtois,Y,GK,90,,,,,,,,,,,
2012-08-19,2012-13,La Liga,Atlético Madrid,Levante,Away,1,1,D,Thibaut Courtois,Y,GK,90,,,,,,,,,,,
2012-08-27,2012-13,La Liga,Atlético Madrid,Athletic Club,Home,4,0,W,Thibaut Courtois,Y,GK,90,,,,,,,,,,,
2012-09-16,2012-13,La Liga,Atlético Madrid,Rayo Vallecano,Home,4,3,W,Thibaut Courtois,Y,GK,90,,,,,,,,,,,
2012-09-23,2012-13,La Liga,Atlético Madrid,Valladolid,Home,2,1,W,Thibaut Courtois,Y,GK,90,,,,,,,,,,,
2012-09-30,2012-13,La Liga,Atlético Madrid,Espanyol,Away,1,0,W,Thibaut Courtois,Y,GK,90,,,,,,,,,,,
2012-10-07,2012-13,La Liga,Atlético Madrid,Málaga,Home,2,1,W,Thibaut Courtois,Y,GK,90,,,,,,,,,,,
2012-10-21,2012-13,La Liga,Atlético Madrid,Real Sociedad,Away,1,0,W,Thibaut Courtois,Y,GK,90,,,,,,,,,,,
2012-10-28,2012-13,La Liga,Atlético Madrid,Osasuna,Home,3,1,W,Thibaut Courtois,Y,GK,90,,,,,,,,,,,
2012-11-03,2012-13,La Liga,Atlético Madrid,Valencia,Away,0,2,L,Thibaut Courtois,Y,GK,90,,,,,,,,,,,
2012-11-11,2012-13,La Liga,Atlético Madrid,Getafe,Home,2,0,W,Thibaut Courtois,Y,GK,90,,,,,,,,,,,
2012-11-18,2012-13,La Liga,Atlético Madrid,Granada,Away,1,0,W,Thibaut Courtois,Y,GK,90,,,,,,,,,,,
2012-11-25,2012-13,La Liga,Atlético Madrid,Sevilla,Home,4,0,W,Thibaut Courtois,Y,GK,90,,,,,,,,,,,
2012-12-01,2012-13,La Liga,Atlético Madrid,Real Madrid,Away,0,2,L,Thibaut Courtois,Y,GK,90,,,,,,,,,,,
2012-12-09,2012-13,La Liga,Atlético Madrid,Deportivo La Coruña,Home,6,0,W,Thibaut Courtois,Y,GK,90,,,,,,,,,,,
2012-12-16,2012-13,La Liga,Atlético Madrid,Barcelona,Away,1,4,L,Thibaut Courtois,Y,GK,90,,,,,,,,,,,
2012-12-21,2012-13,La Liga,Atlético Madrid,Celta Vigo,Home,1,0,W,Thibaut Courtois,Y,GK,90,,,,,,,,,,,
2013-01-06,2012-13,La Liga,Atlético Madrid,Mallorca,Away,1,1,D,Thibaut Courtois,Y,GK,90,,,,,,,,,,,
2013-01-13,2012-13,La Liga,Atlético Madrid,Zaragoza,Home,2,0,W,Thibaut Courtois,Y,GK,90,,,,,,,,,,,
2013-01-20,2012-13,La Liga,Atlético Madrid,Levante,Home,2,0,W,Thibaut Courtois,Y,GK,90,,,,,,,,,,,
2013-01-27,2012-13,La Liga,Atlético Madrid,Athletic Club,Away,0,3,L,Thibaut Courtois,Y,GK,90,,,,,,,,,,,
2013-02-03,2012-13,La Liga,Atlético Madrid,Real Betis,Home,1,0,W,Thibaut Courtois,Y,GK,90,,,,,,,,,,,
2013-02-10,2012-13,La Liga,Atlético Madrid,Rayo Vallecano,Away,1,2,L,Thibaut Courtois,Y,GK,90,,,,,,,,,,,
2013-02-17,2012-13,La Liga,Atlético Madrid,Valladolid,Away,3,0,W,Thibaut Courtois,Y,GK,90,,,,,,,,,,,
2013-02-24,2012-13,La Liga,Atlético Madrid,Espanyol,Home,1,0,W,Thibaut Courtois,Y,GK,90,,,,,,,,,,,
2013-03-03,2012-13,La Liga,Atlético Madrid,Málaga,Away,0,0,D,Thibaut Courtois,Y,GK,90,,,,,,,,,,,
2013-03-10,2012-13,La Liga,Atlético Madrid,Real Sociedad,Home,0,1,L,Thibaut Courtois,Y,GK,90,,,,,,,,,,,
2013-03-17,2012-13,La Liga,Atlético Madrid,Osasuna,Away,2,0,W,Thibaut Courtois,Y,GK,90,,,,,,,,,,,
2013-03-31,2012-13,La Liga,Atlético Madrid,Valencia,Home,1,1,D,Thibaut Courtois,Y,GK,90,,,,,,,,,,,
2013-04-07,2012-13,La Liga,Atlético Madrid,Getafe,Away,0,0,D,Thibaut Courtois,Y,GK,90,,,,,,,,,,,
2013-04-14,2012-13,La Liga,Atlético Madrid,Granada,Home,5,0,W,Thibaut Courtois,Y,GK,90,,,,,,,,,,,
2013-04-21,2012-13,La Liga,Atlético Madrid,Sevilla,Away,1,0,W,Thibaut Courtois,Y,GK,90,,,,,,,,,,,
2013-04-27,2012-13,La Liga,Atlético Madrid,Real Madrid,Home,1,2,L,Thibaut Courtois,Y,GK,90,,,,,,,,,,,
2013-05-04,2012-13,La Liga,Atlético Madrid,Deportivo La Coruña,Away,0,0,D,Thibaut Courtois,Y,GK,90,,,,,,,,,,,
