Date,Season,Competition,Team,Opponent,Venue,TeamGoals,OppGoals,Result,Player,Start,Position,Minutes,Goals,Assists,Shots,SoT,Yellow,Red,Fouls,Offsides,Crosses,TacklesWon,Interceptions
2020-10-17,2020-2021,Serie A,Lazio,Sampdoria,Away,0,3,L,Vedat Muriqi,N,NA,32,0,0,0,0,0,0,1,0,0,0,0
2020-10-24,2020-2021,Serie A,Lazio,Bologna,Home,2,1,W,Vedat Muriqi,N,NA,27,0,0,1,0,0,0,1,1,0,1,0
2020-11-01,2020-2021,Serie A,Lazio,Torino,Away,4,3,W,Vedat Muriqi,Y,FW,55,0,0,0,0,0,1,2,0,0,0,0
2020-11-08,2020-2021,Serie A,Lazio,Juventus,Home,1,1,D,Vedat Muriqi,Y,FW,53,0,0,3,1,0,0,0,0,0,0,0
2020-12-20,2020-2021,Serie A,Lazio,Napoli,Home,2,0,W,Vedat Muriqi,N,NA,24,0,0,0,0,0,0,0,1,0,0,0
2020-12-23,2020-2021,Serie A,Lazio,Milan,Away,2,3,L,Vedat Muriqi,N,NA,59,0,0,2,1,1,0,2,2,0,0,0
2021-01-03,2020-2021,Serie A,Lazio,Genoa,Away,1,1,D,Vedat Muriqi,N,NA,10,0,0,0,0,0,0,2,0,0,0,0
2021-01-06,2020-2021,Serie A,Lazio,Fiorentina,Home,2,1,W,Vedat Muriqi,N,NA,2,0,0,0,0,0,0,0,0,0,0,0
2021-01-15,2020-2021,Serie A,Lazio,Roma,Home,3,0,W,Vedat Muriqi,N,NA,8,0,0,0,0,0,0,2,0,0,0,0
2021-01-24,2020-2021,Serie A,Lazio,Sassuolo,Home,2,1,W,Vedat Muriqi,N,NA,5,0,0,1,1,0,0,2,0,0,0,0
2021-01-31,2020-2021,Serie A,Lazio,Atalanta,Away,3,1,W,Vedat Muriqi,N,NA,11,1,0,1,1,0,0,0,0,0,0,0
2021-02-07,2020-2021,Serie A,Lazio,Cagliari,Home,1,0,W,Vedat Muriqi,N,NA,18,0,0,0,0,0,0,1,0,0,0,0
2021-02-14,2020-2021,Serie A,Lazio,Inter,Away,1,3,L,Vedat Muriqi,N,NA,21,0,0,2,1,0,0,1,0,1,0,0
2021-02-20,2020-2021,Serie A,Lazio,Sampdoria,Home,1,0,W,Vedat Muriqi,N,NA,27,0,0,1,0,0,0,1,2,1,0,0
2021-02-27,2020-2021,Serie A,Lazio,Bologna,Away,0,2,L,Vedat Muriqi,N,NA,26,0,0,1,0,0,0,0,1,0,0,0
2021-03-06,2020-2021,Serie A,Lazio,Juventus,Away,1,3,L,Vedat Muriqi,N,NA,9,0,0,0,0,0,0,1,0,0,0,0
2021-03-12,2020-2021,Serie A,Lazio,Crotone,Home,3,2,W,Vedat Muriqi,N,NA,15,0,0,0,0,0,0,1,0,0,0,0
2021-03-21,2020-2021,Serie A,Lazio,Udinese,Away,1,0,W,Vedat Muriqi,Y,FW,65,0,0,0,0,0,1,1,1,0,0,0
2021-04-11,2020-2021,Serie A,Lazio,Hellas Verona,Away,1,0,W,Vedat Muriqi,N,NA,23,0,0,1,0,0,1,1,0,0,0,0
2021-04-18,2020-2021,Serie A,Lazio,Benevento,Home,5,3,W,Vedat Muriqi,N,NA,21,0,0,1,0,0,0,1,1,0,1,0
2021-04-22,2020-2021,Serie A,Lazio,Napoli,Away,2,5,L,Vedat Muriqi,N,NA,8,0,0,1,0,0,0,0,0,0,0,0
2021-04-26,2020-2021,Serie A,Lazio,Milan,Home,3,0,W,Vedat Muriqi,N,NA,3,0,0,0,0,0,1,0,0,0,0,0
2021-05-08,2020-2021,Serie A,Lazio,Fiorentina,Away,0,2,L,Vedat Muriqi,Y,FW,16,0,0,3,1,0,0,0,0,0,0,0
2021-05-12,2020-2021,Serie A,Lazio,Parma,Home,1,0,W,Vedat Muriqi,Y,FW,56,0,0,4,1,0,0,1,2,0,0,0
2021-05-15,2020-2021,Serie A,Lazio,Roma,Away,0,2,L,Vedat Muriqi,Y,FW,58,0,0,0,0,2,0,2,1,0,0,0
2021-05-18,2020-2021,Serie A,Lazio,Torino,Home,0,0,D,Vedat Muriqi,Y,FW,90,0,0,6,1,2,0,2,0,3,1,0
2021-05-23,2020-2021,Serie A,Lazio,Sassuolo,Away,0,2,L,Vedat Muriqi,Y,FW,90,0,0,3,1,0,0,1,2,1,0,0
2021-08-21,2021-2022,Serie A,Lazio,Empoli,Away,3,1,W,Vedat Muriqi,N,NA,9,0,0,0,0,0,0,1,0,0,0,0
2021-08-28,2021-2022,Serie A,Lazio,Spezia,Home,6,1,W,Vedat Muriqi,N,NA,10,0,0,0,0,0,0,0,0,0,0,0
2021-09-12,2021-2022,Serie A,Lazio,Milan,Away,0,2,L,Vedat Muriqi,N,NA,7,0,0,0,0,0,1,0,0,0,0,0
2021-09-23,2021-2022,Serie A,Lazio,Torino,Away,1,1,D,Vedat Muriqi,N,NA,12,0,0,0,0,0,0,1,0,0,0,0
2021-09-26,2021-2022,Serie A,Lazio,Roma,Home,3,2,W,Vedat Muriqi,N,NA,2,0,0,0,0,0,1,0,0,0,0,0
2021-10-03,2021-2022,Serie A,Lazio,Bologna,Away,0,3,L,Vedat Muriqi,Y,FW,79,0,0,3,2,0,0,2,1,0,0,0
2021-10-30,2021-2022,Serie A,Lazio,Atalanta,Away,2,2,D,Vedat Muriqi,N,NA,6,0,0,0,0,0,0,0,0,0,0,0
2021-11-20,2021-2022,Serie A,Lazio,Juventus,Home,0,2,L,Vedat Muriqi,N,NA,26,0,0,0,0,0,0,0,0,0,0,0
2021-12-05,2021-2022,Serie A,Lazio,Sampdoria,Away,3,1,W,Vedat Muriqi,N,NA,45,0,0,0,0,1,0,2,4,0,0,0
2021-12-12,2021-2022,Serie A,Lazio,Sassuolo,Away,1,2,L,Vedat Muriqi,N,NA,12,0,0,0,0,0,0,1,1,0,0,0
2021-12-17,2021-2022,Serie A,Lazio,Genoa,Home,3,1,W,Vedat Muriqi,N,NA,7,0,0,1,0,0,0,0,0,0,0,0
2022-08-15,2022-2023,La Liga,Mallorca,Athletic Club,Away,0,0,D,Vedat Muriqi,Y,FW,86,0,0,1,1,0,0,2,0,0,0,0
2022-08-20,2022-2023,La Liga,Mallorca,Real Betis,Home,1,2,L,Vedat Muriqi,Y,FW,90,1,0,3,3,0,0,5,0,4,2,0
2022-08-27,2022-2023,La Liga,Mallorca,Rayo Vallecano,Away,2,0,W,Vedat Muriqi,Y,FW,86,1,0,5,2,0,0,1,1,0,1,0
2022-09-03,2022-2023,La Liga,Mallorca,Girona,Home,1,1,D,Vedat Muriqi,Y,FW,90,0,0,2,0,1,0,1,2,1,0,0
2022-09-11,2022-2023,La Liga,Mallorca,Real Madrid,Away,1,4,L,Vedat Muriqi,Y,FW,77,1,0,2,2,0,0,4,0,0,2,0
2022-09-17,2022-2023,La Liga,Mallorca,Almería,Home,1,0,W,Vedat Muriqi,Y,FW,82,0,0,1,0,0,0,1,1,1,0,0
2022-10-01,2022-2023,La Liga,Mallorca,Barcelona,Home,0,1,L,Vedat Muriqi,Y,FW,90,0,0,3,3,0,0,1,2,0,0,0
2022-10-10,2022-2023,La Liga,Mallorca,Elche,Away,1,1,D,Vedat Muriqi,Y,FW,84,1,0,4,3,0,1,1,1,2,0,1
2022-10-22,2022-2023,La Liga,Mallorca,Valencia,Away,2,1,W,Vedat Muriqi,Y,FW,90,1,0,4,1,1,0,2,2,0,1,1
2022-10-28,2022-2023,La Liga,Mallorca,Espanyol,Home,1,1,D,Vedat Muriqi,Y,FW,90,1,0,4,2,0,0,1,1,0,0,0
2022-11-06,2022-2023,La Liga,Mallorca,Villarreal,Away,2,0,W,Vedat Muriqi,Y,FW,86,1,1,4,2,1,0,2,1,0,1,0
2022-11-09,2022-2023,La Liga,Mallorca,Atlético Madrid,Home,1,0,W,Vedat Muriqi,Y,FW,86,1,0,3,1,0,0,2,2,0,0,0
2022-12-30,2022-2023,La Liga,Mallorca,Getafe,Away,0,2,L,Vedat Muriqi,Y,FW,90,0,0,0,0,1,0,5,1,4,0,0
2023-01-07,2022-2023,La Liga,Mallorca,Valladolid,Home,1,0,W,Vedat Muriqi,Y,FW,83,0,0,0,0,0,0,0,2,1,2,0
2023-01-14,2022-2023,La Liga,Mallorca,Osasuna,Away,0,1,L,Vedat Muriqi,Y,FW,90,0,0,2,1,0,0,3,1,1,0,0
2023-01-20,2022-2023,La Liga,Mallorca,Celta Vigo,Home,1,0,W,Vedat Muriqi,Y,FW,84,0,0,1,0,0,0,1,3,0,1,0
2023-01-28,2022-2023,La Liga,Mallorca,Cádiz,Away,0,2,L,Vedat Muriqi,Y,FW,90,0,0,3,0,0,0,1,1,1,0,0
2023-02-05,2022-2023,La Liga,Mallorca,Real Madrid,Home,1,0,W,Vedat Muriqi,Y,FW,90,0,0,1,0,0,0,3,1,0,0,0
2023-02-11,2022-2023,La Liga,Mallorca,Sevilla,Away,0,2,L,Vedat Muriqi,Y,FW,90,0,0,2,0,0,0,2,1,0,0,2
2023-02-18,2022-2023,La Liga,Mallorca,Villarreal,Home,4,2,W,Vedat Muriqi,Y,FW,80,1,1,3,2,0,0,2,0,3,0,1
2023-02-25,2022-2023,La Liga,Mallorca,Espanyol,Away,1,2,L,Vedat Muriqi,Y,FW,90,1,0,1,1,0,0,1,0,0,0,0
2023-03-04,2022-2023,La Liga,Mallorca,Elche,Home,0,1,L,Vedat Muriqi,Y,FW,90,0,0,1,0,1,0,2,1,0,1,0
2023-03-19,2022-2023,La Liga,Mallorca,Real Betis,Away,0,1,L,Vedat Muriqi,Y,FW,76,0,0,1,0,0,0,1,1,2,0,0
2023-03-31,2022-2023,La Liga,Mallorca,Osasuna,Home,0,0,D,Vedat Muriqi,Y,FW,75,0,0,3,0,0,0,3,1,0,1,0
2023-04-09,2022-2023,La Liga,Mallorca,Valladolid,Away,3,3,D,Vedat Muriqi,Y,FW,89,2,0,4,3,0,0,1,3,0,1,0
2023-04-17,2022-2023,La Liga,Mallorca,Celta Vigo,Home,1,0,W,Vedat Muriqi,Y,FW,90,0,0,1,0,0,0,4,1,0,1,1
2023-04-23,2022-2023,La Liga,Mallorca,Getafe,Home,3,1,W,Vedat Muriqi,Y,FW,80,0,0,3,0,0,0,0,0,1,0,0
2023-04-26,2022-2023,La Liga,Mallorca,Atlético Madrid,Away,1,3,L,Vedat Muriqi,N,NA,36,0,0,0,0,0,0,1,0,1,0,0
2023-05-01,2022-2023,La Liga,Mallorca,Athletic Club,Home,1,1,D,Vedat Muriqi,Y,FW,84,0,1,2,1,1,0,2,0,0,0,2
2023-05-04,2022-2023,La Liga,Mallorca,Girona,Away,1,2,L,Vedat Muriqi,Y,FW,90,1,0,1,1,0,0,1,2,2,0,0
2023-05-12,2022-2023,La Liga,Mallorca,Cádiz,Home,1,0,W,Vedat Muriqi,Y,FW,90,0,0,4,1,0,0,2,2,0,0,0
2023-05-20,2022-2023,La Liga,Mallorca,Almería,Away,0,3,L,Vedat Muriqi,Y,FW,69,0,0,0,0,0,0,1,2,1,0,0
2023-05-25,2022-2023,La Liga,Mallorca,Valencia,Home,1,0,W,Vedat Muriqi,Y,FW,90,1,0,1,1,0,0,3,1,0,1,0
2023-05-28,2022-2023,La Liga,Mallorca,Barcelona,Away,0,3,L,Vedat Muriqi,Y,FW,78,0,0,3,1,0,0,0,1,1,0,2
2023-06-04,2022-2023,La Liga,Mallorca,Rayo Vallecano,Home,3,0,W,Vedat Muriqi,Y,FW,76,1,0,2,1,0,0,1,2,1,0,0
2023-08-12,2023-2024,La Liga,Mallorca,Las Palmas,Away,1,1,D,Vedat Muriqi,Y,FW,90,0,0,1,0,0,0,3,4,3,1,0
2023-08-18,2023-2024,La Liga,Mallorca,Villarreal,Home,0,1,L,Vedat Muriqi,Y,FW,90,0,0,1,0,0,0,0,0,1,1,0
2023-08-26,2023-2024,La Liga,Mallorca,Granada,Away,2,3,L,Vedat Muriqi,Y,FW,90,0,0,1,1,0,0,0,2,1,0,0
2023-09-03,2023-2024,La Liga,Mallorca,Athletic Club,Home,0,0,D,Vedat Muriqi,Y,FW,90,0,0,2,1,0,0,3,1,1,0,0
2023-09-16,2023-2024,La Liga,Mallorca,Celta Vigo,Away,1,0,W,Vedat Muriqi,Y,FW,89,1,0,2,2,0,0,0,1,0,0,0
2023-09-23,2023-2024,La Liga,Mallorca,Girona,Away,3,5,L,Vedat Muriqi,Y,FW,77,1,0,2,2,0,0,1,0,1,0,0
2023-09-26,2023-2024,La Liga,Mallorca,Barcelona,Home,2,2,D,Vedat Muriqi,Y,FW,90,1,1,2,2,0,0,4,2,4,0,0
2023-09-30,2023-2024,La Liga,Mallorca,Rayo Vallecano,Away,2,2,D,Vedat Muriqi,Y,FW,90,1,0,4,3,0,0,3,1,1,0,0
2023-10-07,2023-2024,La Liga,Mallorca,Valencia,Away,1,1,D,Vedat Muriqi,Y,FW,90,0,1,1,1,0,0,1,2,2,0,0
2023-10-21,2023-2024,La Liga,Mallorca,Real Sociedad,Away,0,1,L,Vedat Muriqi,Y,FW,90,0,0,4,0,0,0,1,3,0,0,0
2023-10-28,2023-2024,La Liga,Mallorca,Getafe,Home,0,0,D,Vedat Muriqi,Y,FW,90,0,0,3,1,0,0,1,2,4,1,1
2023-11-04,2023-2024,La Liga,Mallorca,Real Betis,Away,0,2,L,Vedat Muriqi,Y,FW,81,0,0,2,0,0,0,0,1,1,0,0
2024-01-20,2023-2024,La Liga,Mallorca,Villarreal,Away,1,1,D,Vedat Muriqi,N,FW,11,0,0,0,0,0,0,0,0,0,1,0
2024-01-27,2023-2024,La Liga,Mallorca,Real Betis,Home,0,1,L,Vedat Muriqi,N,FW,33,0,0,2,0,0,0,1,1,0,0,0
2024-02-02,2023-2024,La Liga,Mallorca,Athletic Club,Away,0,4,L,Vedat Muriqi,N,FW,45,0,0,0,0,0,0,1,1,0,0,1
2024-02-11,2023-2024,La Liga,Mallorca,Rayo Vallecano,Home,2,1,W,Vedat Muriqi,Y,FW,90,1,0,3,3,1,0,2,1,0,0,0
2024-02-18,2023-2024,La Liga,Mallorca,Real Sociedad,Home,1,2,L,Vedat Muriqi,Y,FW,90,0,0,0,0,1,0,1,0,0,1,0
2024-02-24,2023-2024,La Liga,Mallorca,Alavés,Away,1,1,D,Vedat Muriqi,Y,FW,90,0,0,2,1,0,0,2,1,0,1,1
2024-03-03,2023-2024,La Liga,Mallorca,Girona,Home,1,0,W,Vedat Muriqi,Y,FW,90,0,0,2,0,0,0,2,2,0,0,2
2024-03-08,2023-2024,La Liga,Mallorca,Barcelona,Away,0,1,L,Vedat Muriqi,Y,FW,90,0,0,4,1,0,0,2,2,3,1,0
2024-03-16,2023-2024,La Liga,Mallorca,Granada,Home,1,0,W,Vedat Muriqi,Y,FW,90,0,0,3,2,0,0,1,2,0,0,0
2024-03-30,2023-2024,La Liga,Mallorca,Valencia,Away,0,0,D,Vedat Muriqi,Y,FW,90,0,0,4,0,0,0,1,1,0,1,0
2024-04-13,2023-2024,La Liga,Mallorca,Real Madrid,Home,0,1,L,Vedat Muriqi,Y,FW,90,0,0,2,0,1,0,2,0,1,0,0
2024-04-22,2023-2024,La Liga,Mallorca,Sevilla,Away,1,2,L,Vedat Muriqi,Y,FW,82,0,0,3,2,0,0,1,1,1,0,0
2024-04-28,2023-2024,La Liga,Mallorca,Cádiz,Away,1,1,D,Vedat Muriqi,Y,FW,83,1,0,1,1,0,0,3,5,1,0,1
2024-05-04,2023-2024,La Liga,Mallorca,Atlético Madrid,Home,0,1,L,Vedat Muriqi,Y,FW,90,0,0,2,1,1,0,3,3,1,2,0
2024-05-11,2023-2024,La Liga,Mallorca,Las Palmas,Home,1,0,W,Vedat Muriqi,Y,FW,82,0,0,1,0,1,0,1,2,1,1,0
2024-05-19,2023-2024,La Liga,Mallorca,Almería,Home,2,2,D,Vedat Muriqi,Y,FW,90,0,0,6,0,0,0,0,0,2,0,0
2024-05-26,2023-2024,La Liga,Mallorca,Getafe,Away,2,1,W,Vedat Muriqi,N,FW,34,1,0,1,1,0,0,0,1,2,0,0
2024-08-18,2024-2025,La Liga,Mallorca,Real Madrid,Home,1,1,Draw,Vedat Muriqi,Yes,FW,90,1,0,3,3,0,0,0,1,0,1,0
2024-08-24,2024-2025,La Liga,Mallorca,Osasuna,Away,0,1,Loss,Vedat Muriqi,Yes,FW,90,0,0,1,0,0,0,0,1,0,2,0
2024-08-27,2024-2025,La Liga,Mallorca,Sevilla,Home,0,0,Draw,Vedat Muriqi,Yes,FW,81,0,0,5,2,0,0,1,1,0,0,0
2024-08-31,2024-2025,La Liga,Mallorca,Leganés,Away,1,0,Win,Vedat Muriqi,Yes,FW,90,0,1,1,0,0,0,2,2,0,2,0
2024-09-14,2024-2025,La Liga,Mallorca,Villarreal,Home,1,2,Loss,Vedat Muriqi,Yes,FW,90,0,0,1,0,0,0,1,0,2,1,0
2024-09-17,2024-2025,La Liga,Mallorca,Real Sociedad,Home,1,0,Win,Vedat Muriqi,No,FW,28,0,0,1,1,0,0,1,1,0,1,0
2024-10-20,2024-2025,La Liga,Mallorca,Rayo Vallecano,Home,1,0,Win,Vedat Muriqi,Yes,FW,83,1,0,4,1,0,0,1,2,0,1,0
2024-10-28,2024-2025,La Liga,Mallorca,Athletic Club,Home,0,0,Draw,Vedat Muriqi,Yes,FW,89,0,0,2,1,1,0,4,3,1,0,0
2024-11-01,2024-2025,La Liga,Mallorca,Alavés,Away,0,1,Loss,Vedat Muriqi,No,FW,34,0,0,1,0,0,0,0,1,1,0,0
2024-11-10,2024-2025,La Liga,Mallorca,Atlético Madrid,Home,0,1,Loss,Vedat Muriqi,Yes,FW,90,0,0,4,1,0,0,2,4,1,0,0
2024-11-23,2024-2025,La Liga,Mallorca,Las Palmas,Away,3,2,Win,Vedat Muriqi,Yes,FW,87,0,0,2,0,0,0,1,2,0,0,0
2024-12-03,2024-2025,La Liga,Mallorca,Barcelona,Home,1,5,Loss,Vedat Muriqi,Yes,FW,77,1,0,1,1,0,0,3,0,5,0,0
2024-12-06,2024-2025,La Liga,Mallorca,Celta Vigo,Away,0,2,Loss,Vedat Muriqi,No,FW,33,0,0,0,0,0,0,0,0,0,0,0
2024-12-14,2024-2025,La Liga,Mallorca,Girona,Home,2,1,Win,Vedat Muriqi,Yes,FW,31,0,1,0,0,0,1,1,1,0,0,0
2025-01-20,2024-2025,La Liga,Mallorca,Villarreal,Away,0,4,Loss,Vedat Muriqi,Yes,FW,90,0,0,2,0,0,0,0,1,1,0,0
2025-01-25,2024-2025,La Liga,Mallorca,Real Betis,Home,0,1,Loss,Vedat Muriqi,No,FW,28,0,0,0,0,0,0,0,2,0,0,1
2025-02-01,2024-2025,La Liga,Mallorca,Atlético Madrid,Away,0,2,Loss,Vedat Muriqi,Yes,FW,90,0,0,1,0,0,0,1,1,0,0,0
2025-02-10,2024-2025,La Liga,Mallorca,Osasuna,Home,1,1,Draw,Vedat Muriqi,Yes,FW,81,1,0,3,1,0,0,0,3,2,0,1
2025-02-16,2024-2025,La Liga,Mallorca,Las Palmas,Home,3,1,Win,Vedat Muriqi,Yes,FW,85,2,0,4,3,0,0,0,1,1,0,0
2025-02-24,2024-2025,La Liga,Mallorca,Sevilla,Away,1,1,Draw,Vedat Muriqi,Yes,FW,76,0,0,2,1,0,0,0,1,0,0,1
2025-03-02,2024-2025,La Liga,Mallorca,Alavés,Home,1,1,Draw,Vedat Muriqi,Yes,FW,90,0,0,6,1,0,0,2,6,0,0,0
2025-03-09,2024-2025,La Liga,Mallorca,Athletic Club,Away,1,1,Draw,Vedat Muriqi,Yes,FW,84,0,0,1,0,0,0,2,2,1,0,1
2025-03-15,2024-2025,La Liga,Mallorca,Espanyol,Home,2,1,Win,Vedat Muriqi,Yes,FW,90,1,0,5,3,0,0,0,1,2,1,0
2025-04-05,2024-2025,La Liga,Mallorca,Celta Vigo,Home,1,2,Loss,Vedat Muriqi,Yes,FW,36,0,0,0,0,0,0,1,0,1,0,0
2025-05-05,2024-2025,La Liga,Mallorca,Girona,Away,0,1,Loss,Vedat Muriqi,No,FW,18,0,0,0,0,0,0,1,0,0,0,0
2025-05-10,2024-2025,La Liga,Mallorca,Valladolid,Home,2,1,Win,Vedat Muriqi,Yes,FW,65,0,0,1,0,0,0,0,0,0,0,0
2025-05-14,2024-2025,La Liga,Mallorca,Real Madrid,Away,1,2,Loss,Vedat Muriqi,Yes,FW,90,0,0,0,0,0,0,2,0,0,1,1
2025-05-18,2024-2025,La Liga,Mallorca,Getafe,Home,1,2,Loss,Vedat Muriqi,Yes,FW,78,0,0,0,0,0,0,2,2,1,0,0
2025-05-24,2024-2025,La Liga,Mallorca,Rayo Vallecano,Away,0,0,Draw,Vedat Muriqi,Yes,FW,64,0,0,3,0,0,0,0,3,0,0,0
