Date,Season,Competition,Team,Opponent,Venue,TeamGoals,OppGoals,Result,Player,Start,Position,Minutes,Goals,Assists,Shots,SoT,Yellow,Red,Fouls,Offsides,Crosses,TacklesWon,Interceptions
2017-05-13,2017,Serie A,Flamengo,Atlético Mineiro,Home,1,1,D,Vinicius Junior,N,-,9,0,0,0,0,0,0,0,0,2,1,0
2017-05-20,2017,Serie A,Flamengo,Atlético Goianiense,Away,3,0,W,Vinicius Junior,N,-,10,0,0,1,1,0,0,0,0,0,0,0
2017-05-28,2017,Serie A,Flamengo,Athletico Paranaense,Away,1,1,D,Vinicius Junior,N,-,22,0,0,2,1,0,0,0,0,2,0,0
2017-06-04,2017,Serie A,Flamengo,Botafogo (RJ),Home,0,0,D,Vinicius Junior,N,-,24,0,0,3,0,0,0,0,0,1,0,0
2017-06-07,2017,Serie A,Flamengo,Sport Recife,Away,0,2,L,Vinicius Junior,N,-,35,0,0,2,2,0,0,2,0,0,0,0
2017-06-11,2017,Serie A,Flamengo,Avaí,Away,1,1,D,Vinicius Junior,Y,AM,67,0,0,1,0,0,0,0,1,1,0,1
2017-06-14,2017,Serie A,Flamengo,Ponte Preta,Home,2,0,W,Vinicius Junior,Y,AM,73,0,1,2,0,1,0,1,1,5,1,0
2017-06-18,2017,Serie A,Flamengo,Fluminense,Away,2,2,D,Vinicius Junior,Y,AM,45,0,0,1,1,0,0,2,0,1,0,0
2017-06-22,2017,Serie A,Flamengo,Chapecoense,Home,5,1,W,Vinicius Junior,N,-,8,0,0,0,0,0,0,0,1,0,0,0
2017-06-25,2017,Serie A,Flamengo,Bahia,Home,1,0,W,Vinicius Junior,N,-,34,0,0,0,0,0,0,0,0,0,0,0
2017-07-22,2017,Serie A,Flamengo,Coritiba,Home,2,1,W,Vinicius Junior,N,-,29,0,0,2,0,0,0,1,2,1,0,0
2017-07-30,2017,Serie A,Flamengo,Corinthians,Away,1,1,D,Vinicius Junior,N,-,4,0,0,0,0,0,0,0,0,0,1,0
2017-08-06,2017,Serie A,Flamengo,Vitória,Home,0,2,L,Vinicius Junior,N,-,20,0,0,1,1,0,0,0,1,2,0,0
2017-08-13,2017,Serie A,Flamengo,Atlético Mineiro,Away,0,2,L,Vinicius Junior,N,-,21,0,0,1,0,0,0,2,2,0,0,0
2017-08-19,2017,Serie A,Flamengo,Atlético Goianiense,Home,2,0,W,Vinicius Junior,Y,AM,90,2,0,6,2,1,0,3,4,1,0,0
2017-08-27,2017,Serie A,Flamengo,Athletico Paranaense,Home,2,0,W,Vinicius Junior,N,-,14,0,0,0,0,0,0,0,1,2,0,0
2017-09-23,2017,Serie A,Flamengo,Avaí,Home,1,1,D,Vinicius Junior,N,-,14,0,0,0,0,0,0,0,0,1,0,0
2017-10-02,2017,Serie A,Flamengo,Ponte Preta,Away,0,1,L,Vinicius Junior,N,-,28,0,0,1,0,0,0,1,2,2,0,0
2017-10-28,2017,Serie A,Flamengo,Vasco da Gama,Home,0,0,D,Vinicius Junior,N,-,23,0,0,1,0,0,0,0,2,1,0,0
2017-11-05,2017,Serie A,Flamengo,Grêmio,Away,1,3,L,Vinicius Junior,N,-,15,0,0,0,0,0,0,0,2,1,0,0
2017-11-08,2017,Serie A,Flamengo,Cruzeiro,Home,2,0,W,Vinicius Junior,N,-,11,1,0,2,1,0,0,0,0,0,0,0
2017-11-12,2017,Serie A,Flamengo,Palmeiras,Away,0,2,L,Vinicius Junior,N,-,45,0,0,0,0,0,0,0,1,3,0,0
2017-11-16,2017,Serie A,Flamengo,Coritiba,Away,0,1,L,Vinicius Junior,N,-,32,0,0,0,0,1,0,0,0,0,0,0
2017-11-26,2017,Serie A,Flamengo,Santos,Home,1,2,L,Vinicius Junior,N,-,16,0,0,2,1,0,0,0,2,3,0,0
2017-12-03,2017,Serie A,Flamengo,Vitória,Away,2,1,W,Vinicius Junior,N,-,31,0,0,1,0,0,0,0,2,2,0,0
2018-04-14,2018,Série A,Flamengo,Vitória,Away,2,2,D,Vinicius Junior,Y,LW,84,0,1,4,1,0,0,1,3,3,0,0
2018-04-21,2018,Série A,Flamengo,América-MG,Home,2,0,W,Vinicius Junior,Y,LW,72,0,1,2,1,0,0,0,3,0,5,1
2018-04-29,2018,Série A,Flamengo,Ceará,Away,3,0,W,Vinicius Junior,Y,FW,90,2,0,4,3,0,0,3,1,0,4,2
2018-05-06,2018,Série A,Flamengo,Internacional,Home,2,0,W,Vinicius Junior,Y,LW,90,0,0,4,1,1,0,0,3,0,3,1
2018-05-13,2018,Série A,Flamengo,Chapecoense,Away,2,3,L,Vinicius Junior,N,-,20,1,0,1,1,0,0,0,0,1,0,0
2018-05-19,2018,Série A,Flamengo,Vasco da Gama,Home,1,1,D,Vinicius Junior,Y,LW,79,1,0,2,1,0,0,1,2,1,3,0
2018-05-26,2018,Série A,Flamengo,Atlético Mineiro,Away,1,0,W,Vinicius Junior,Y,LW,89,0,1,2,2,1,0,0,3,0,0,1
2018-05-31,2018,Série A,Flamengo,Bahia,Home,2,0,W,Vinicius Junior,Y,LW,90,0,0,1,0,0,0,0,2,0,3,2
2018-06-03,2018,Série A,Flamengo,Corinthians,Home,1,0,W,Vinicius Junior,Y,LW,89,0,0,3,1,0,0,2,1,0,3,0
2018-06-07,2018,Série A,Flamengo,Fluminense,Away,2,0,W,Vinicius Junior,Y,LW,90,0,0,3,3,0,0,1,3,1,2,1
2018-06-10,2018,Série A,Flamengo,Paraná,Home,2,0,W,Vinicius Junior,Y,LW,90,0,0,2,0,0,0,0,1,0,3,1
2018-06-13,2018,Série A,Flamengo,Palmeiras,Away,1,1,D,Vinicius Junior,Y,LW,90,0,0,4,3,1,0,0,6,0,2,1
2018-09-29,2018-2019,La Liga,Real Madrid,Atlético Madrid,Home,0,0,D,Vinicius Junior,N,-,3,0,0,0,0,0,0,0,1,0,0,0
