Date,Season,Competition,Team,Opponent,Venue,TeamGoals,OppGoals,Result,Player,Start,Position,Minutes,Goals,Assists,Shots,SoT,Yellow,Red,Fouls,Offsides,Crosses,TacklesWon,Interceptions
2018-09-02,2018-2019,Primeira Liga,Porto,Moreirense,Home,3,0,W,Éder Militão,Y,CB,90,0,1,3,0,0,2,0,1,2,1,0
2018-09-22,2018-2019,Primeira Liga,Porto,Vitória Setúbal,Away,2,0,W,Éder Militão,Y,CB,90,0,0,0,0,0,0,0,1,1,2,0
2018-09-28,2018-2019,Primeira Liga,Porto,Tondela,Home,1,0,W,Éder Militão,Y,CB,90,0,0,1,1,0,2,1,0,1,2,0
2018-10-07,2018-2019,Primeira Liga,Porto,Benfica,Away,0,1,L,Éder Militão,Y,CB,90,0,0,2,0,0,1,4,0,0,1,0
2018-10-28,2018-2019,Primeira Liga,Porto,Feirense,Home,2,0,W,Éder Militão,Y,CB,90,0,0,1,1,0,1,0,0,0,1,0
2018-11-03,2018-2019,Primeira Liga,Porto,Marítimo,Away,2,0,W,Éder Militão,Y,CB,90,0,0,0,0,0,2,2,0,0,2,0
2018-11-10,2018-2019,Primeira Liga,Porto,Braga,Home,1,0,W,Éder Militão,Y,CB,90,0,0,0,0,0,1,2,0,0,5,0
2018-12-02,2018-2019,Primeira Liga,Porto,Boavista,Away,1,0,W,Éder Militão,Y,CB,90,0,0,0,0,0,3,2,0,1,3,2
2018-12-07,2018-2019,Primeira Liga,Porto,Portimonense,Home,4,1,W,Éder Militão,Y,CB,90,0,0,1,0,0,1,0,0,0,1,1
2018-12-15,2018-2019,Primeira Liga,Porto,Santa Clara,Away,2,1,W,Éder Militão,Y,CB,90,0,0,1,0,0,3,1,0,0,1,4
2018-12-23,2018-2019,Primeira Liga,Porto,Rio Ave,Home,2,1,W,Éder Militão,Y,CB,90,0,0,1,0,0,2,3,0,0,1,3
2019-01-03,2018-2019,Primeira Liga,Porto,Aves,Away,1,0,W,Éder Militão,Y,CB,90,1,0,3,1,0,1,1,0,0,0,1
2019-01-07,2018-2019,Primeira Liga,Porto,Nacional,Home,3,1,W,Éder Militão,Y,CB,90,0,0,0,0,0,2,1,0,0,1,5
2019-01-12,2018-2019,Primeira Liga,Porto,Sporting CP,Away,0,0,D,Éder Militão,Y,CB,90,0,0,0,0,0,2,0,0,0,1,4
2019-01-18,2018-2019,Primeira Liga,Porto,Chaves,Away,4,1,W,Éder Militão,Y,RB,90,0,0,1,0,0,2,3,0,4,3,1
2019-01-30,2018-2019,Primeira Liga,Porto,B-SAD,Home,3,0,W,Éder Militão,Y,RB,79,1,0,1,1,0,1,1,0,1,2,2
2019-02-03,2018-2019,Primeira Liga,Porto,Vitória Guimarães,Away,0,0,D,Éder Militão,Y,RB,90,0,0,1,0,0,2,1,0,1,2,1
2019-02-08,2018-2019,Primeira Liga,Porto,Moreirense,Away,1,1,D,Éder Militão,Y,RB,90,0,0,2,0,0,0,1,0,0,4,4
2019-02-16,2018-2019,Primeira Liga,Porto,Vitória Setúbal,Home,2,0,W,Éder Militão,Y,CB,90,0,0,1,1,0,2,0,0,0,0,1
2019-03-10,2018-2019,Primeira Liga,Porto,Feirense,Away,2,1,W,Éder Militão,Y,RB,90,0,0,0,0,0,0,2,0,3,4,1
2019-03-16,2018-2019,Primeira Liga,Porto,Marítimo,Home,3,0,W,Éder Militão,Y,RB,90,0,1,3,0,0,1,0,0,3,1,3
2019-03-30,2018-2019,Primeira Liga,Porto,Braga,Away,3,2,W,Éder Militão,Y,RB,90,0,0,0,0,0,1,2,0,1,2,1
2019-04-05,2018-2019,Primeira Liga,Porto,Boavista,Home,2,0,W,Éder Militão,Y,CB,90,0,0,1,1,0,1,0,0,0,1,0
2019-04-13,2018-2019,Primeira Liga,Porto,Portimonense,Away,3,0,W,Éder Militão,Y,CB,90,0,0,1,1,0,2,1,0,0,1,2
2019-04-20,2018-2019,Primeira Liga,Porto,Santa Clara,Home,1,0,W,Éder Militão,Y,CB,90,0,0,1,1,0,2,0,0,1,1,1
2019-04-26,2018-2019,Primeira Liga,Porto,Rio Ave,Away,2,2,D,Éder Militão,Y,RB,90,0,0,1,0,0,3,2,0,1,3,5
2019-05-04,2018-2019,Primeira Liga,Porto,Aves,Home,4,0,W,Éder Militão,Y,CB,90,0,0,1,1,0,1,2,0,0,2,3
2019-05-12,2018-2019,Primeira Liga,Porto,Nacional,Away,4,0,W,Éder Militão,Y,CB,90,0,0,0,0,0,3,1,0,1,1,2
2019-05-18,2018-2019,Primeira Liga,Porto,Sporting CP,Home,2,1,W,Éder Militão,Y,RB,90,0,0,2,0,0,2,2,0,4,4,3
2019-09-14,2019-2020,La Liga,Real Madrid,Levante,Home,3,2,W,Éder Militão,No,NA,31,0,NA,0,0,0,0,1,0,NA,NA,0
2019-09-25,2019-2020,La Liga,Real Madrid,Osasuna,Home,2,0,W,Éder Militão,Yes,CB,90,0,NA,0,0,1,0,2,0,NA,NA,2
2019-10-19,2019-2020,La Liga,Real Madrid,Mallorca,Away,0,1,L,Éder Militão,Yes,CB,90,0,NA,1,1,0,0,3,1,NA,NA,4
2019-11-30,2019-2020,La Liga,Real Madrid,Alavés,Away,2,1,W,Éder Militão,Yes,CB,90,0,NA,0,0,1,0,0,0,NA,NA,1
2019-12-07,2019-2020,La Liga,Real Madrid,Espanyol,Home,2,0,W,Éder Militão,No,NA,65,0,NA,0,0,0,0,0,0,NA,NA,0
2019-12-22,2019-2020,La Liga,Real Madrid,Athletic Club,Home,0,0,D,Éder Militão,Yes,CB,56,0,NA,0,0,0,0,3,1,NA,NA,1
2020-01-04,2019-2020,La Liga,Real Madrid,Getafe,Away,3,0,W,Éder Militão,Yes,CB,90,0,NA,0,0,0,0,1,0,NA,NA,3
2020-01-18,2019-2020,La Liga,Real Madrid,Sevilla,Home,2,1,W,Éder Militão,Yes,CB,90,0,NA,0,0,0,0,2,0,NA,NA,2
2020-03-08,2019-2020,La Liga,Real Madrid,Real Betis,Away,1,2,L,Éder Militão,Yes,RB,90,0,NA,1,0,0,0,3,0,NA,NA,2
2020-06-14,2019-2020,La Liga,Real Madrid,Eibar,Home,3,1,W,Éder Militão,No,NA,30,0,NA,0,0,0,0,0,0,NA,NA,2
2020-06-21,2019-2020,La Liga,Real Madrid,Real Sociedad,Away,2,1,W,Éder Militão,No,NA,31,0,NA,0,0,0,0,2,0,NA,NA,0
2020-07-02,2019-2020,La Liga,Real Madrid,Getafe,Home,1,0,W,Éder Militão,No,NA,58,0,NA,0,0,1,0,1,0,NA,NA,2
2020-07-05,2019-2020,La Liga,Real Madrid,Athletic Club,Away,1,0,W,Éder Militão,Yes,CB,90,0,NA,0,0,0,0,0,0,NA,NA,0
2020-07-10,2019-2020,La Liga,Real Madrid,Alavés,Home,2,0,W,Éder Militão,Yes,CB,90,0,NA,0,0,0,0,2,0,NA,NA,2
2020-07-19,2019-2020,La Liga,Real Madrid,Leganés,Away,2,2,D,Éder Militão,Yes,CB,90,0,NA,0,0,0,0,1,0,NA,NA,0
